synset	domain
Synset('gastropoda.n.01')	Synset('class.n.07')
Synset('coalbin.n.01')	Synset('container.n.01')-misc
Synset('hypnotism.n.01')	Synset('act.n.02')-misc
Synset('assent.n.01')	Synset('speech_act.n.01')-misc
Synset('chytridiales.n.01')	Synset('order.n.12')-misc
Synset('forecaster.n.01')	Synset('intellectual.n.01')
Synset('data_input_device.n.01')	Synset('electronic_equipment.n.01')
Synset('procrastination.n.01')	Synset('act.n.02')-misc
Synset('cebuella.n.01')	Synset('mammal_genus.n.01')-misc
Synset('nanticoke.n.02')	Synset('amerind.n.01')
Synset('kentucky_bluegrass.n.01')	Synset('gramineous_plant.n.01')
Synset('scheuchzeriaceae.n.01')	Synset('monocot_family.n.01')
Synset('auricula.n.02')	Synset('cavity.n.04')
Synset('slickness.n.03')	Synset('property.n.02')-misc
Synset('master.n.06')	Synset('creation.n.02')-misc
Synset('leasehold.n.01')	Synset('property.n.01')
Synset('master.n.04')	Synset('leader.n.01')-misc
Synset('tasset.n.01')	Synset('protective_covering.n.01')
Synset('beacon.n.03')	Synset('structure.n.01')-misc
Synset('magnetic_storm.n.01')	Synset('activity.n.01')-misc
Synset('master.n.09')	Synset('expert.n.01')
Synset('master.n.08')	Synset('intellectual.n.01')
Synset('range_hood.n.01')	Synset('covering.n.02')-misc
Synset('genus_doodia.n.01')	Synset('fern_genus.n.01')
Synset('mitogen.n.01')	Synset('agent.n.03')-misc
Synset('durio.n.01')	Synset('dilleniid_dicot_genus.n.01')-misc
Synset('electrical_contact.n.01')	Synset('connection.n.03')
Synset('pregnanediol.n.01')	Synset('compound.n.02')-misc
Synset('creativity.n.01')	Synset('creativity.n.01')
Synset('maniraptora.n.01')	Synset('animal_order.n.01')-misc
Synset('input_file.n.01')	Synset('evidence.n.02')
Synset('gametoecium.n.01')	Synset('reproductive_structure.n.01')-misc
Synset('chlorobenzylidenemalononitrile.n.01')	Synset('fluid.n.02')
Synset('aspic.n.01')	Synset('dainty.n.01')
Synset('prolonge.n.01')	Synset('line.n.18')
Synset('ichthyolatry.n.01')	Synset('activity.n.01')-misc
Synset('common_ground.n.01')	Synset('relation.n.01')-misc
Synset('pricing_system.n.01')	Synset('plan.n.01')
Synset('demand_for_identification.n.01')	Synset('speech_act.n.01')-misc
Synset('blastocladiales.n.01')	Synset('order.n.12')-misc
Synset('statesmanship.n.01')	Synset('trait.n.01')-misc
Synset('telegraph.n.01')	Synset('apparatus.n.01')
Synset('first-aid_kit.n.01')	Synset('equipment.n.01')-misc
Synset('trandolapril.n.01')	Synset('medicine.n.02')-misc
Synset('stridor.n.01')	Synset('symptom.n.01')-misc
Synset('language_barrier.n.01')	Synset('cognition.n.01')-misc
Synset('preliminary_prospectus.n.01')	Synset('work.n.02')
Synset('transferase.n.01')	Synset('activator.n.01')
Synset('stocks.n.01')	Synset('supporting_structure.n.01')
Synset('common_buttercup.n.01')	Synset('herb.n.01')-misc
Synset('hobnail.n.01')	Synset('restraint.n.06')
Synset('broadcasting.n.02')	Synset('medium.n.01')
Synset('onychophoran.n.01')	Synset('arthropod.n.01')-misc
Synset('podocarpus.n.01')	Synset('gymnosperm_genus.n.01')
Synset('archaeopteryx.n.01')	Synset('bird.n.01')-misc
Synset('thanks.n.01')	Synset('message.n.02')-misc
Synset('thanks.n.02')	Synset('activity.n.01')-misc
Synset('femoral_vein.n.01')	Synset('vein.n.01')
Synset('knitter.n.01')	Synset('creator.n.02')
Synset('doodia.n.01')	Synset('fern.n.01')
Synset('center_of_mass.n.01')	Synset('point.n.02')-misc
Synset('vermifuge.n.01')	Synset('medicine.n.02')-misc
Synset('legal_duty.n.01')	Synset('social_control.n.01')
Synset('autostrada.n.01')	Synset('road.n.01')
Synset('thermionics.n.01')	Synset('natural_science.n.01')-misc
Synset('hydrostatic_head.n.01')	Synset('physical_phenomenon.n.01')-misc
Synset('dragonet.n.01')	Synset('spiny-finned_fish.n.01')-misc
Synset('hair.n.04')	Synset('structure.n.04')-misc
Synset('english_lady_crab.n.01')	Synset('crustacean.n.01')
Synset('simeon.n.01')	Synset('relative.n.01')
Synset('lock.n.01')	Synset('restraint.n.06')
Synset('sloe_gin.n.01')	Synset('alcohol.n.01')-misc
Synset('hair.n.03')	Synset('process.n.05')
Synset('wilms'_tumor.n.01')	Synset('malignancy.n.01')
Synset('crossbar.n.02')	Synset('game_equipment.n.01')
Synset('crossbar.n.03')	Synset('structural_member.n.01')
Synset('arraignment.n.01')	Synset('legal_document.n.01')-misc
Synset('cholecystectomy.n.01')	Synset('medical_procedure.n.01')
Synset('landholding.n.01')	Synset('relation.n.01')-misc
Synset('allegro.n.02')	Synset('musical_composition.n.01')
Synset('clinidae.n.01')	Synset('fish_family.n.01')
Synset('allegro.n.01')	Synset('time.n.05')
Synset('taco_sauce.n.01')	Synset('condiment.n.01')
Synset('lock.n.04')	Synset('enclosure.n.01')
Synset('redeemer.n.02')	Synset('person.n.01')-misc
Synset('arquebus.n.01')	Synset('weapon.n.01')
Synset('grey_birch.n.01')	Synset('tree.n.01')-misc
Synset('butte.n.01')	Synset('geological_formation.n.01')
Synset('lepidopterology.n.01')	Synset('life_science.n.01')
Synset('heaume.n.01')	Synset('protective_covering.n.01')
Synset('matter_of_fact.n.02')	Synset('information.n.02')-misc
Synset('navy_base.n.01')	Synset('facility.n.01')
Synset('cypriot_monetary_unit.n.01')	Synset('monetary_unit.n.01')-misc
Synset('cab_fare.n.01')	Synset('charge.n.03')
Synset('female_reproductive_system.n.01')	Synset('body_part.n.01')-misc
Synset('pouched_mole.n.01')	Synset('mammal.n.01')-misc
Synset('butterbur.n.01')	Synset('herb.n.01')-misc
Synset('nuclear_cataract.n.01')	Synset('disease.n.01')-misc
Synset('agglomerate.n.01')	Synset('rock.n.02')
Synset('handler.n.02')	Synset('negotiator.n.01')
Synset('sweet_birch.n.01')	Synset('tree.n.01')-misc
Synset('octant.n.01')	Synset('measuring_instrument.n.01')-misc
Synset('spirogyra.n.01')	Synset('protoctist.n.01')
Synset('neckpiece.n.01')	Synset('clothing.n.01')-misc
Synset('magnetic_compass.n.01')	Synset('instrument.n.01')-misc
Synset('sabal.n.01')	Synset('monocot_genus.n.01')-misc
Synset('bengali.n.01')	Synset('asian.n.01')
Synset('mormon_cricket.n.01')	Synset('insect.n.01')-misc
Synset('heartlessness.n.01')	Synset('feeling.n.01')-misc
Synset('symplocus.n.01')	Synset('dicot_genus.n.01')-misc
Synset('hitchiti.n.01')	Synset('amerindian.n.01')
Synset('sinhalese.n.02')	Synset('indo-european.n.02')
Synset('emissary.n.01')	Synset('negotiator.n.01')
Synset('myenteric_plexus.n.01')	Synset('structure.n.04')-misc
Synset('sinhalese.n.01')	Synset('asian.n.01')
Synset('calycanthaceae.n.01')	Synset('dicot_family.n.01')
Synset('outreach.n.01')	Synset('motion.n.03')
Synset('pyramidal_tract.n.01')	Synset('animal_tissue.n.01')-misc
Synset('stilt.n.02')	Synset('rod.n.01')
Synset('stilt.n.03')	Synset('wading_bird.n.01')
Synset('voider.n.03')	Synset('protective_covering.n.01')
Synset('particle_detector.n.01')	Synset('enclosure.n.01')
Synset('monoamine_oxidase.n.01')	Synset('activator.n.01')
Synset('simoniz.n.01')	Synset('compound.n.02')-misc
Synset('stage_door.n.01')	Synset('way.n.06')-misc
Synset('european_flatfish.n.01')	Synset('spiny-finned_fish.n.01')-misc
Synset('heartleaf_arnica.n.01')	Synset('wilding.n.01')
Synset('ancient_greek.n.01')	Synset('indo-european.n.02')
Synset('orphan.n.04')	Synset('animal.n.01')-misc
Synset('orphan.n.03')	Synset('matter.n.06')
Synset('orphan.n.02')	Synset('person.n.01')-misc
Synset('orphan.n.01')	Synset('person.n.01')-misc
Synset('granola.n.01')	Synset('food.n.02')-misc
Synset('rough_green_snake.n.01')	Synset('snake.n.01')
Synset('flag_captain.n.01')	Synset('serviceman.n.01')
Synset('triglidae.n.01')	Synset('fish_family.n.01')
Synset('shinny.n.01')	Synset('sport.n.01')
Synset('velcro.n.01')	Synset('fabric.n.01')-misc
Synset('buteonine.n.01')	Synset('bird_of_prey.n.01')
Synset('exceedance.n.01')	Synset('measure.n.02')-misc
Synset('autonomy.n.01')	Synset('state.n.02')-misc
Synset('treadmill.n.02')	Synset('machine.n.01')-misc
Synset('autonomy.n.02')	Synset('state.n.02')-misc
Synset('plug.n.05')	Synset('electrical_device.n.01')
Synset('gas_meter.n.01')	Synset('measuring_instrument.n.01')-misc
Synset('freshman_class.n.01')	Synset('gathering.n.01')-misc
Synset('adenovirus.n.01')	Synset('agent.n.01')
Synset('lie.n.01')	Synset('statement.n.01')-misc
Synset('lablab.n.01')	Synset('rosid_dicot_genus.n.01')-misc
Synset('lie.n.03')	Synset('point.n.02')-misc
Synset('mountain_avens.n.01')	Synset('subshrub.n.01')
Synset('lodge.n.03')	Synset('housing.n.01')
Synset('treadmill.n.01')	Synset('device.n.01')-misc
Synset('daubentoniidae.n.01')	Synset('mammal_family.n.01')
Synset('supply-side_economics.n.01')	Synset('science.n.01')-misc
Synset('stairs.n.01')	Synset('way.n.06')-misc
Synset('wencher.n.01')	Synset('bad_person.n.01')-misc
Synset('skeleton_shrimp.n.01')	Synset('crustacean.n.01')
Synset('commonalty.n.01')	Synset('people.n.01')
Synset('amber_lily.n.01')	Synset('bulbous_plant.n.01')
Synset('bambuseae.n.01')	Synset('taxonomic_group.n.01')-misc
Synset('myometrium.n.01')	Synset('contractile_organ.n.01')
Synset('christmas.n.01')	Synset('time_period.n.01')-misc
Synset('christmas.n.02')	Synset('calendar_day.n.01')
Synset('guilt_by_association.n.01')	Synset('condition.n.01')-misc
Synset('deliberative_assembly.n.01')	Synset('assembly.n.04')
Synset('herniated_disc.n.01')	Synset('injury.n.01')
Synset('medicine_ball.n.01')	Synset('game_equipment.n.01')
Synset('baked_potato.n.01')	Synset('starches.n.01')
Synset('hire-purchase.n.01')	Synset('payment.n.01')
Synset('reproductive_cloning.n.01')	Synset('investigation.n.02')
Synset('nanovolt.n.01')	Synset('electromagnetic_unit.n.01')
Synset('portal_system.n.01')	Synset('body_part.n.01')-misc
Synset('hepatic_lobe.n.01')	Synset('body_part.n.01')-misc
Synset('unevenness.n.01')	Synset('quality.n.01')-misc
Synset('parimutuel.n.01')	Synset('diversion.n.01')-misc
Synset('decalcomania.n.02')	Synset('creation.n.01')
Synset('unevenness.n.02')	Synset('quality.n.01')-misc
Synset('game.n.09')	Synset('game_equipment.n.01')
Synset('population_commission.n.01')	Synset('administrative_unit.n.01')-misc
Synset('photon.n.01')	Synset('body.n.04')
Synset('look.n.02')	Synset('activity.n.01')-misc
Synset('look.n.03')	Synset('appearance.n.01')
Synset('game.n.01')	Synset('game.n.01')
Synset('game.n.03')	Synset('diversion.n.01')-misc
Synset('solid_angle.n.01')	Synset('amorphous_shape.n.01')
Synset('game.n.05')	Synset('concept.n.01')-misc
Synset('game.n.04')	Synset('animal.n.01')-misc
Synset('game.n.07')	Synset('meat.n.01')
Synset('game.n.06')	Synset('number.n.02')-misc
Synset('turk's-cap.n.02')	Synset('bulbous_plant.n.01')
Synset('cherry_plum.n.01')	Synset('fruit_tree.n.01')
Synset('secobarbital_sodium.n.01')	Synset('drug_of_abuse.n.01')-misc
Synset('scratcher.n.01')	Synset('workman.n.01')
Synset('gangplank.n.01')	Synset('structure.n.01')-misc
Synset('scented_fern.n.02')	Synset('fern.n.01')
Synset('rig.n.01')	Synset('equipment.n.01')-misc
Synset('flood_tide.n.02')	Synset('happening.n.01')-misc
Synset('rig.n.03')	Synset('position.n.07')
Synset('gyromitra_sphaerospora.n.01')	Synset('fungus.n.01')-misc
Synset('social_democratic_party.n.01')	Synset('organization.n.01')-misc
Synset('summary.n.01')	Synset('statement.n.01')-misc
Synset('ligustrum.n.01')	Synset('dicot_genus.n.01')-misc
Synset('subsidiary_ledger.n.01')	Synset('document.n.03')
Synset('scintilla.n.02')	Synset('body.n.04')
Synset('methylated_spirit.n.01')	Synset('plant_product.n.01')
Synset('tulip.n.01')	Synset('bulbous_plant.n.01')
Synset('clock_face.n.01')	Synset('surface.n.01')
Synset('fomentation.n.01')	Synset('substance.n.07')-misc
Synset('soupspoon.n.01')	Synset('article.n.02')
Synset('rabbit_burrow.n.01')	Synset('geological_formation.n.01')
Synset('besom.n.01')	Synset('implement.n.01')-misc
Synset('bicycling.n.01')	Synset('sport.n.01')
Synset('aortic_aneurysm.n.01')	Synset('disorder.n.01')-misc
Synset('sadomasochist.n.01')	Synset('wrongdoer.n.01')
Synset('epistle.n.02')	Synset('section.n.01')
Synset('treachery.n.02')	Synset('wrongdoing.n.02')-misc
Synset('epistle.n.01')	Synset('matter.n.06')
Synset('harmonizer.n.02')	Synset('negotiator.n.01')
Synset('iceberg.n.01')	Synset('object.n.01')-misc
Synset('harmonizer.n.01')	Synset('entertainer.n.01')
Synset('brooklime.n.02')	Synset('aquatic_plant.n.01')
Synset('shin_splints.n.01')	Synset('inflammation.n.01')
Synset('brooklime.n.01')	Synset('aquatic_plant.n.01')
Synset('eloquence.n.01')	Synset('expressive_style.n.01')-misc
Synset('hot_spell.n.01')	Synset('time_period.n.01')-misc
Synset('table_knife.n.01')	Synset('article.n.02')
Synset('lavender.n.02')	Synset('visual_property.n.01')
Synset('anomalops.n.01')	Synset('spiny-finned_fish.n.01')-misc
Synset('expurgation.n.01')	Synset('change_of_integrity.n.01')
Synset('maximization.n.01')	Synset('procedure.n.01')-misc
Synset('branchiopoda.n.01')	Synset('class.n.07')
Synset('coelenterate_family.n.01')	Synset('family.n.06')-misc
Synset('pleurobrachia.n.01')	Synset('genus.n.02')-misc
Synset('featherbedding.n.01')	Synset('practice.n.01')
Synset('overexposure.n.02')	Synset('act.n.02')-misc
Synset('palsy.n.02')	Synset('symptom.n.01')-misc
Synset('diervilla.n.01')	Synset('asterid_dicot_genus.n.01')-misc
Synset('nocturia.n.01')	Synset('bodily_process.n.01')-misc
Synset('golfcart.n.01')	Synset('sports_equipment.n.01')
Synset('chrestomathy.n.01')	Synset('section.n.01')
Synset('hardball.n.01')	Synset('attitude.n.01')
Synset('villa.n.03')	Synset('housing.n.01')
Synset('epicurism.n.01')	Synset('nature.n.04')
Synset('charitableness.n.01')	Synset('morality.n.01')
Synset('orchid.n.01')	Synset('orchid.n.01')
Synset('million.n.02')	Synset('indefinite_quantity.n.01')-misc
Synset('disregard.n.02')	Synset('practice.n.01')
Synset('disregard.n.01')	Synset('basic_cognitive_process.n.01')-misc
Synset('identifier.n.01')	Synset('symbol.n.01')-misc
Synset('deserter.n.01')	Synset('person.n.01')-misc
Synset('regular_icosahedron.n.01')	Synset('solid.n.03')
Synset('rotary_engine.n.01')	Synset('motor.n.01')
Synset('deserter.n.02')	Synset('wrongdoer.n.01')
Synset('muniments.n.01')	Synset('legal_document.n.01')-misc
Synset('fleer.n.02')	Synset('message.n.02')-misc
Synset('microgram.n.01')	Synset('unit_of_measurement.n.01')-misc
Synset('bullock's_heart.n.02')	Synset('edible_fruit.n.01')
Synset('losings.n.01')	Synset('transferred_property.n.01')-misc
Synset('iritis.n.01')	Synset('inflammation.n.01')
Synset('american_football.n.01')	Synset('sport.n.01')
Synset('time_scale.n.01')	Synset('time_period.n.01')-misc
Synset('optic_radiation.n.01')	Synset('animal_tissue.n.01')-misc
Synset('wood_nettle.n.01')	Synset('weed.n.01')
Synset('scleral_veins.n.01')	Synset('vein.n.01')
Synset('hydrofoil.n.01')	Synset('device.n.01')-misc
Synset('simile.n.01')	Synset('device.n.02')
Synset('ascophyllum.n.01')	Synset('genus.n.02')-misc
Synset('hydrofoil.n.02')	Synset('vessel.n.02')
Synset('copper_rockfish.n.01')	Synset('spiny-finned_fish.n.01')-misc
Synset('prothrombinase.n.01')	Synset('protein.n.01')
Synset('pelican_crossing.n.01')	Synset('way.n.06')-misc
Synset('naval_campaign.n.01')	Synset('operation.n.05')
Synset('lug_wrench.n.01')	Synset('hand_tool.n.01')
Synset('melancholic.n.01')	Synset('unfortunate.n.01')
Synset('spiritualty.n.01')	Synset('property.n.01')
Synset('snailfish.n.01')	Synset('spiny-finned_fish.n.01')-misc
Synset('hilltop.n.01')	Synset('topographic_point.n.01')
Synset('swallow.n.01')	Synset('small_indefinite_quantity.n.01')
Synset('air-intake.n.01')	Synset('passage.n.03')
Synset('bevatron.n.01')	Synset('scientific_instrument.n.01')
Synset('muscadet.n.02')	Synset('wine.n.01')
Synset('takeover.n.02')	Synset('acquiring.n.01')
Synset('terminology.n.01')	Synset('word.n.01')
Synset('rainmaker.n.02')	Synset('spiritual_leader.n.01')
Synset('haziness.n.02')	Synset('quality.n.01')-misc
Synset('stucco.n.01')	Synset('building_material.n.01')
Synset('common_barberry.n.01')	Synset('shrub.n.01')-misc
Synset('haziness.n.01')	Synset('quality.n.01')-misc
Synset('dumetella.n.01')	Synset('bird_genus.n.01')-misc
Synset('eastern_cottonwood.n.01')	Synset('angiospermous_tree.n.01')-misc
Synset('little_potato.n.01')	Synset('plant_disease.n.01')
