Synonyms,Glossary,Synset in hierarchy,,,,,,,,,Label,PossibleNone,Familiar,UnfamiliarANDunsure,Notes,Synset
rocking_chair rocker,a chair mounted on rockers,,,,"[Synset('rocking_chair.n.01'),",,,,,,l,,y,,,Synset('rocking_chair.n.01')
folding_chair,a chair that can be folded flat for storage,,,,"[Synset('folding_chair.n.01'),",,,,,,l,,y,,,Synset('folding_chair.n.01')
swivel_chair,a chair that swivels on its base,,,,"[Synset('swivel_chair.n.01')],",,,,,,l,,y,,,Synset('swivel_chair.n.01')
ladder-back ladder-back_chair,a chair with a ladder-back,,,,"[Synset('ladder-back.n.01')],",,,,,,l,,y,,,Synset('ladder-back.n.01')
tablet-armed_chair,a chair with an arm that has been widened for writing,,,,"[Synset('tablet-armed_chair.n.01')],",,,,,,l,,y,,,Synset('tablet-armed_chair.n.01')
shoofly,a child's rocking chair with the seat built between two flat sides that are shaped to resemble an animal (such as a swan or duck),,,,,"[Synset('shoofly.n.02')]],",,,,,l,,y,,specific type of chair ,Synset('shoofly.n.02')
coat_closet,a closet for storing outerwear,,,"[Synset('coat_closet.n.01')]],",,,,,,,l,,y,,,Synset('coat_closet.n.01')
clothes_closet clothespress,a closet where clothes are stored,,,"[Synset('clothes_closet.n.01')],",,,,,,,l,,y,,,Synset('clothes_closet.n.01')
easy_chair lounge_chair overstuffed_chair,a comfortable upholstered armchair,,,,,"[Synset('easy_chair.n.01'),",,,,,l,,y,,very specific/not commonly used ,Synset('easy_chair.n.01')
reception_desk,a counter (as in a hotel) where guests are received,,,,"[Synset('reception_desk.n.01')]],",,,,,,l,,y,,,Synset('reception_desk.n.01')
cash_bar,a counter at a large party where you can purchase drinks by the glass,,,,,"[Synset('cash_bar.n.01')],",,,,,l,,y,,specific contextual term ,Synset('cash_bar.n.01')
checkout checkout_counter,a counter in a supermarket where you pay for your purchases,,,,"[Synset('checkout.n.03')],",,,,,,b,,y,,,Synset('checkout.n.03')
soda_fountain,a counter where ice cream and sodas and sundaes are prepared and served,,,,,"[Synset('soda_fountain.n.01')],",,,,,l,,y,,specific contextual term ,Synset('soda_fountain.n.01')
bar,a counter where you can obtain food or drink,,,,"[Synset('bar.n.02'),",,,,,,b,,y,,,Synset('bar.n.02')
writing_desk,a desk for writing (usually with a sloping top),,,,"[Synset('writing_desk.n.02')]],",,,,,,l,,y,,specific type of table,Synset('writing_desk.n.02')
secretary writing_table escritoire secretaire,a desk used for writing,,,,"[Synset('secretary.n.04')],",,,,,,l,,y,,specific type of table,Synset('secretary.n.04')
high_table,a dining table in a dining-hall raised on a platform; seats are reserved for distinguished persons,,,,"[Synset('high_table.n.01')],",,,,,,l,,y,,specific type of table,Synset('high_table.n.01')
triclinium,a dining table with couches along three sides in ancient Rome,,,,"[Synset('triclinium.n.02')]]],",,,,,,l,,n,,,Synset('triclinium.n.02')
gateleg_table,a drop-leaf table with the drop-leaves supported by hinged legs,,,,"[Synset('gateleg_table.n.01')]],",,,,,,l,,y,,specific type of table,Synset('gateleg_table.n.01')
vertical_file,a file in which records are stored upright on one edge,,,,"[Synset('vertical_file.n.01')]]],",,,,,,l,,y,,,Synset('vertical_file.n.01')
fighting_chair,a fixed chair from which a saltwater angler can fight a hooked fish,,,,"[Synset('fighting_chair.n.01')],",,,,,,l,,y,,,Synset('fighting_chair.n.01')
deck_chair beach_chair,a folding chair for use outdoors; a wooden frame supports a length of canvas,,,,,"[Synset('deck_chair.n.01')],",,,,,l,,y,,specific type of chair ,Synset('deck_chair.n.01')
campstool,a folding stool,,,,"[Synset('campstool.n.01')],",,,,,,l,,y,,,Synset('campstool.n.01')
Sheraton,a furniture style that originated in England around 1800; simple in design with straight lines and classical ornamentation,,"[Synset('sheraton.n.01')],",,,,,,,,h,x,n,,possible no basic level ,Synset('sheraton.n.01')
hammock sack,a hanging bed of canvas or rope netting (usually suspended between two trees); swings easily,,,,"[Synset('hammock.n.02')],",,,,,,b,,y,,,Synset('hammock.n.02')
credenza credence,a kind of sideboard or buffet,,,"[Synset('credenza.n.01')],",,,,,,,l,,n,,,Synset('credenza.n.01')
reading_lamp,a lamp that provides light for reading,,,"[Synset('reading_lamp.n.01'),",,,,,,,l,,y,,lamp is basic level,Synset('reading_lamp.n.01')
table_lamp,a lamp that sits on a table,,,"[Synset('table_lamp.n.01')]],",,,,,,,l,,y,,lamp is basic level,Synset('table_lamp.n.01')
floor_lamp,a lamp that stands on the floor,,,"[Synset('floor_lamp.n.01')],",,,,,,,l,,y,,lamp is basic level,Synset('floor_lamp.n.01')
barber_chair,a large fixed adjustable chair in which barbers seat their customers,,,,"[Synset('barber_chair.n.01')],",,,,,,l,,y,,,Synset('barber_chair.n.01')
davenport,a large sofa usually convertible into a bed,,,,,"[Synset('davenport.n.03'),",,,,,l,,y,,type of sofa - specific - was unsure about the bed ,Synset('davenport.n.03')
armoire,a large wardrobe or cabinet; originally used for storing weapons,,,"[Synset('armoire.n.01')],",,,,,,,l,,y,,,Synset('armoire.n.01')
yacht_chair,a light folding armchair for outdoor use,,,,,"[Synset('yacht_chair.n.01')]],",,,,,l,,y,,specific type of chair ,Synset('yacht_chair.n.01')
camp_chair,a light folding chair,,,,,"[Synset('camp_chair.n.01')],",,,,,l,,y,,specific type of chair ,Synset('camp_chair.n.01')
divan,a long backless sofa (usually with pillows against a wall),,,,"[Synset('divan.n.01')],",,,,,,l,,y,,,Synset('divan.n.01')
chaise_longue chaise daybed,a long chair; for reclining,,,,"[Synset('chaise_longue.n.01')],",,,,,,l,,y,,,Synset('chaise_longue.n.01')
refectory_table,a long narrow dining table supported by a stretcher between two trestles,,,,"[Synset('refectory_table.n.01')],",,,,,,l,,n,,,Synset('refectory_table.n.01')
bench,a long seat for more than one person,,,"[Synset('bench.n.01'),",,,,,,,b,,y,,,Synset('bench.n.01')
settle settee,a long wooden bench with a back,,,,"[Synset('settle.n.01')],",,,,,,l,,y,,,Synset('settle.n.01')
trundle_bed trundle truckle_bed truckle,a low bed to be slid under a higher bed,,,,"[Synset('trundle_bed.n.01')],",,,,,,l,,y,,,Synset('trundle_bed.n.01')
lowboy,a low chest or table with drawers and supported on four legs,,,"[Synset('lowboy.n.01')]],",,,,,,,l,,n,,v. specific ,Synset('lowboy.n.01')
footstool footrest ottoman tuffet,a low seat or a stool to rest the feet of a seated person,,,,"[Synset('footstool.n.01')],",,,,,,l,,y,,,Synset('footstool.n.01')
taboret tabouret,a low stool in the shape of a drum,,,,"[Synset('taboret.n.01')]],",,,,,,l,,y,,,Synset('taboret.n.01')
cutty_stool,"a low stool; formerly in Scotland, a seat in a church where an offender was publicly rebuked",,,,"[Synset('cutty_stool.n.01')],",,,,,,l,,y,,,Synset('cutty_stool.n.01')
pier_table,a low table set below a pier glass,,,"[Synset('pier_table.n.01')],",,,,,,,l,,n,,specific type of table,Synset('pier_table.n.01')
wheelchair,a movable chair mounted on large wheels; for invalids or those who cannot walk; frequently propelled by the occupant,,,,"[Synset('wheelchair.n.01'),",,,,,,b,,y,,,Synset('wheelchair.n.01')
couch,a narrow bed on which a patient lies during psychiatric or psychoanalytic treatment,,,,"[Synset('couch.n.03')],",,,,,,b,,y,,,Synset('couch.n.03')
tilt-top_table tip-top_table tip_table,a pedestal table whose top is hinged so that it can be tilted to a vertical position,,,,"[Synset('tilt-top_table.n.01')]],",,,,,,l,,y,,specific type of table,Synset('tilt-top_table.n.01')
table,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs,,"[Synset('table.n.02'),",,,,,,,,b,,y,,basic level for tables ,Synset('table.n.02')
wall_unit,a piece of furniture having several units that stands against one wall of a room,,"[Synset('wall_unit.n.01'),",,,,,,,,h,,y,,,Synset('wall_unit.n.01')
lamp,a piece of furniture holding one or more electric light bulbs,,"[Synset('lamp.n.02'),",,,,,,,,b,,,,,Synset('lamp.n.02')
sectional,a piece of furniture made up of sections that can be arranged individually or together,,"[Synset('sectional.n.01')],",,,,,,,,h,x,y,,specific type of furniture but can also be many different types,Synset('sectional.n.01')
cabinet,a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display,,"[Synset('cabinet.n.01'),",,,,,,,,b,,y,,,Synset('cabinet.n.01')
sleeper,a piece of furniture that can be opened up into a bed,,"[Synset('sleeper.n.07')],",,,,,,,,h,x,y,,possible no basic level ,Synset('sleeper.n.07')
bed,a piece of furniture that provides a place to sleep,,,"[Synset('bed.n.01'),",,,,,,,b,,y,,,Synset('bed.n.01')
buffet counter sideboard,a piece of furniture that stands at the side of a dining room; has shelves and drawers,,"[Synset('buffet.n.01'),",,,,,,,,b,,n,,specific type of cupboard / cabinet,Synset('buffet.n.01')
hallstand,a piece of furniture where coats and hats and umbrellas can be hung; usually has a mirror,,"[Synset('hallstand.n.01')],",,,,,,,,l,,y,,stand would be basic level,Synset('hallstand.n.01')
desk,a piece of furniture with a writing surface and usually drawers or other compartments,,,"[Synset('desk.n.01'),",,,,,,,b,,y,,specific type of table,Synset('desk.n.01')
etagere,a piece of furniture with open shelves for displaying small ornaments,,"[Synset('etagere.n.01')],",,,,,,,,l,,n,,specific type of furniture,Synset('etagere.n.01')
bookcase,a piece of furniture with shelves for storing books,,"[Synset('bookcase.n.01')],",,,,,,,,b,,y,,,Synset('bookcase.n.01')
table,a piece of furniture with tableware for a meal laid out on it,,"[Synset('table.n.03'),",,,,,,,,l,,y,,specified type of table,Synset('table.n.03')
student_lamp,a reading lamp with a flexible neck; used on a desk,,,,"[Synset('student_lamp.n.01')]],",,,,,,l,,y,,,Synset('student_lamp.n.01')
Boston_rocker,a rocking chair that has a high spindle back and a decorative top panel,,,,,"[Synset('boston_rocker.n.01')],",,,,,l,,y,,specific type of chair ,Synset('boston_rocker.n.01')
bunk,a rough bed (as at a campsite),,,,"[Synset('bunk.n.03')],",,,,,,l,,y,,,Synset('bunk.n.03')
chair,"a seat for one person, with a support for the back",,,"[Synset('chair.n.01'),",,,,,,,b,,y,,,Synset('chair.n.01')
musnud,a seat with a cushion that is used as a throne by Indian princes,,,,,,"[Synset('musnud.n.01')],",,,,l,,n,,specific/not commonly used by people ,Synset('musnud.n.01')
stool,a simple seat without a back or arms,,,"[Synset('stool.n.01'),",,,,,,,b,,y,,,Synset('stool.n.01')
hospital_bed,a single bed with a frame in three sections so the head or middle or foot can be raised as required,,,,,"[Synset('hospital_bed.n.01')]],",,,,,l,,y,,,Synset('hospital_bed.n.01')
baby_bed baby's_bed,a small bed for babies; enclosed by sides to prevent the baby from falling,,"[Synset('baby_bed.n.01'),",,,,,,,,l,,y,,,Synset('baby_bed.n.01')
cot camp_bed,a small bed that folds up for storage or transport,,,,"[Synset('cot.n.03')],",,,,,,b,,y,,,Synset('cot.n.03')
davenport,a small decorative writing desk,,,,"[Synset('davenport.n.02')],",,,,,,l,,y,,specific type of table,Synset('davenport.n.02')
card_table,a small light table with folding legs; can be folded for storage,,,"[Synset('card_table.n.02')],",,,,,,,l,,y,,specific type of table,Synset('card_table.n.02')
gueridon,a small round table,,,"[Synset('gueridon.n.01')],",,,,,,,l,,y,,specific type of table,Synset('gueridon.n.01')
settee,a small sofa,,,,"[Synset('settee.n.02')],",,,,,,l,,y,,,Synset('settee.n.02')
console_table console,a small table fixed to a wall or designed to stand against a wall,,,"[Synset('console_table.n.01')],",,,,,,,l,,y,,specific type of table,Synset('console_table.n.01')
stand,a small table for holding articles of various kinds,,,"[Synset('stand.n.04'),",,,,,,,l,,y,x,"type of table, but could be basic level ",Synset('stand.n.04')
tea_table,a small table for serving afternoon tea,,,"[Synset('tea_table.n.01')],",,,,,,,l,,y,,specific type of table,Synset('tea_table.n.01')
commissary,a snack bar in a film studio,,,,,,"[Synset('commissary.n.02')],",,,,l,,y,,specific,Synset('commissary.n.02')
convertible sofa_bed,a sofa that can be converted into a bed,,,,"[Synset('convertible.n.03'),",,,,,,l,,y,,,Synset('convertible.n.03')
squab,a soft padded sofa,,,,"[Synset('squab.n.02')]],",,,,,,l,,y,,,Synset('squab.n.02')
box_seat,a special seat in a theater or grandstand box,,,"[Synset('box_seat.n.01')],",,,,,,,l,,y,,,Synset('box_seat.n.01')
music_stool piano_stool,a stool for piano players; usually adjustable in height,,,,"[Synset('music_stool.n.01')],",,,,,,l,,y,,,Synset('music_stool.n.01')
step_stool,a stool that has one or two steps that fold under the seat,,,,"[Synset('step_stool.n.01')],",,,,,,l,,y,,,Synset('step_stool.n.01')
straight_chair side_chair,a straight-backed chair without arms,,,,"[Synset('straight_chair.n.01'),",,,,,,l,,y,,,Synset('straight_chair.n.01')
workbench work_bench bench,a strong worktable for a carpenter or mechanic,,,,"[Synset('workbench.n.01'),",,,,,,l,,y,,specific type of table,Synset('workbench.n.01')
Parsons_table,a sturdy rectangular table with block legs at the four corners; the top and the legs are the same width,,,"[Synset('parsons_table.n.01')],",,,,,,,l,,n,,specific type of table,Synset('parsons_table.n.01')
booth,a table (in a restaurant or bar) surrounded by two high-backed benches,,,"[Synset('booth.n.01')],",,,,,,,l,,y,,specific type of table,Synset('booth.n.01')
dining_table board,a table at which meals are served,,,"[Synset('dining_table.n.01'),",,,,,,,l,,y,,specific type of table,Synset('dining_table.n.01')
worktable work_table,a table designed for a particular task,,,"[Synset('worktable.n.01'),",,,,,,,h,,y,,specific type of table,Synset('worktable.n.01')
card_table,a table for playing cards (as in a casino),,,"[Synset('card_table.n.01')],",,,,,,,l,,y,,specific type of table,Synset('card_table.n.01')
kitchen_table,a table in the kitchen,,,"[Synset('kitchen_table.n.01')],",,,,,,,l,,y,,specific type of table,Synset('kitchen_table.n.01')
pedestal_table,a table supported by a single central column,,,"[Synset('pedestal_table.n.01'),",,,,,,,l,,y,,specific type of table,Synset('pedestal_table.n.01')
trestle_table,a table supported on trestles,,,"[Synset('trestle_table.n.01')],",,,,,,,l,,y,,specific type of table,Synset('trestle_table.n.01')
drop-leaf_table,a table that has a drop-leaf to enlarge its surface,,,"[Synset('drop-leaf_table.n.01'),",,,,,,,l,,n,,specific type of table,Synset('drop-leaf_table.n.01')
gaming_table,a table used for gambling; may be equipped with a gameboard and slots for chips,,,"[Synset('gaming_table.n.01')],",,,,,,,h,,y,,,Synset('gaming_table.n.01')
table-tennis_table ping-pong_table pingpong_table,a table used for playing table tennis,,,"[Synset('table-tennis_table.n.01')],",,,,,,,b,,y,,specific type of table,Synset('table-tennis_table.n.01')
breakfast_table,a table where breakfast is eaten,,,"[Synset('breakfast_table.n.01')],",,,,,,,l,,y,,specific type of table,Synset('breakfast_table.n.01')
highboy tallboy,a tall chest of drawers divided into two sections and supported on four legs,,,"[Synset('highboy.n.01')],",,,,,,,l,,n,,v. specific ,Synset('highboy.n.01')
chiffonier commode,a tall elegant chest of drawers,,,"[Synset('chiffonier.n.01')],",,,,,,,l,,y,,v. specific ,Synset('chiffonier.n.01')
wardrobe closet press,a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes,,"[Synset('wardrobe.n.01'),",,,,,,,,b,,y,,perhaps no basic level as wardrobe is specific type of closet/cabinet,Synset('wardrobe.n.01')
cathedra bishop's_throne,a throne that is the official chair of a bishop,,,,,,"[Synset('cathedra.n.01')],",,,,l,,y,,specific contextual term ,Synset('cathedra.n.01')
entertainment_center,a wall unit containing sound and television systems,,,"[Synset('entertainment_center.n.01')]],",,,,,,,l,,y,,,Synset('entertainment_center.n.01')
motorized_wheelchair,a wheelchair propelled by a motor,,,,,"[Synset('motorized_wheelchair.n.01')]]],",,,,,l,,y,,,Synset('motorized_wheelchair.n.01')
bath_chair,"a wheelchair usually pushed by an attendant, as at a spa",,,,,"[Synset('bath_chair.n.01')],",,,,,l,,y,,,Synset('bath_chair.n.01')
captain's_chair,a wooden armchair with a saddle seat and a low back that has vertical spindles,,,,,"[Synset('captain's_chair.n.01')],",,,,,l,,y,,very specific/not commonly used ,Synset('captain's_chair.n.01')
lab_bench laboratory_bench,a workbench in a laboratory,,,,,"[Synset('lab_bench.n.01')]]]],",,,,,l,,y,,specific contextual term ,Synset('lab_bench.n.01')
drafting_table drawing_table,a worktable with adjustable top,,,,"[Synset('drafting_table.n.01')],",,,,,,l,,y,,specific type of table,Synset('drafting_table.n.01')
card_index card_catalog card_catalogue,"an alphabetical listing of items (e.g., books in a library) with a separate card for each item",,,,"[Synset('card_index.n.01'),",,,,,,l,,y,,,Synset('card_index.n.01')
recliner reclining_chair lounger,an armchair whose back can be lowered and foot can be raised to allow the sitter to recline in it,,,,,"[Synset('recliner.n.01')]],",,,,,l,,y,,"specific type of chair, but commonly used word",Synset('recliner.n.01')
Morris_chair,an armchair with an adjustable back,,,,,"[Synset('morris_chair.n.01')],",,,,,l,,n,,,Synset('morris_chair.n.01')
daybed divan_bed,an armless couch; a seat by day and a bed by night,,,,"[Synset('daybed.n.01')],",,,,,,l,,y,,,Synset('daybed.n.01')
chesterfield,an overstuffed davenport with upright armrests,,,,,,"[Synset('chesterfield.n.02')]],",,,,l,,n,,a type of davenport - which is a type of sofa -- subordinate,Synset('chesterfield.n.02')
fauteuil,an upholstered armchair,,,,,"[Synset('fauteuil.n.01')],",,,,,l,,n,,very specific/not commonly used ,Synset('fauteuil.n.01')
banquette,an upholstered bench,,,,"[Synset('banquette.n.01')],",,,,,,l,,y,,,Synset('banquette.n.01')
sofa couch lounge,an upholstered seat for more than one person,,,"[Synset('sofa.n.01'),",,,,,,,b,,y,,,Synset('sofa.n.01')
fitment,any of the items furnishing or equipping a room (especially built-in furniture),,"[Synset('fitment.n.01')],",,,,,,,,h,x,y,x,"general term for fitted furniture so labelled superordinate, but could also have no basic level",Synset('fitment.n.01')
crib cot,baby bed with high sides made of slats,,,"[Synset('crib.n.01')]],",,,,,,,b,,y,,,Synset('crib.n.01')
bunk_bed bunk,beds built one above the other,,,,"[Synset('bunk_bed.n.01')],",,,,,,l,,y,,,Synset('bunk_bed.n.01')
carrycot,box-shaped baby bed with handles (for a baby to sleep in while being carried),,,"[Synset('carrycot.n.01')],",,,,,,,l,,y,,"could be basic level , but it is type of cot so subordinate to it ",Synset('carrycot.n.01')
medicine_chest medicine_cabinet,cabinet that holds medicines and toiletries,,,"[Synset('medicine_chest.n.01')]],",,,,,,,l,,y,,specific cabinet,Synset('medicine_chest.n.01')
lawn_chair garden_chair,chair left outside for use on a lawn or in a garden,,,,"[Synset('lawn_chair.n.01')],",,,,,,l,,y,,,Synset('lawn_chair.n.01')
armchair,chair with a support on each side for arms,,,,"[Synset('armchair.n.01'),",,,,,,l,,y,,,Synset('armchair.n.01')
studio_couch day_bed,convertible consisting of an upholstered couch that can be converted into a double bed,,,,,"[Synset('studio_couch.n.01')]],",,,,,l,,y,,specific contextual term ,Synset('studio_couch.n.01')
meat_counter,counter where meats are displayed for sale,,,,"[Synset('meat_counter.n.01')],",,,,,,l,,y,,,Synset('meat_counter.n.01')
notions_counter,counter where notions are sold,,,,"[Synset('notions_counter.n.01')],",,,,,,l,,y,,,Synset('notions_counter.n.01')
lectern reading_desk,desk or stand with a slanted top used to hold a text at the proper height for a lecturer,,,,"[Synset('lectern.n.01')]],",,,,,,l,,y,,specific type of table,Synset('lectern.n.01')
dining-room_table,dining-room furniture consisting of a table on which meals can be served,,,"[Synset('dining-room_table.n.01')]],",,,,,,,l,,y,,type of table - table is basic level,Synset('dining-room_table.n.01')
dining-room_table,dining-room furniture consisting of a table on which meals can be served,,,,"[Synset('dining-room_table.n.01')],",,,,,,x,,,,duplicate,Synset('dining-room_table.n.01')
wing_chair,easy chair having wings on each side of a high back,,,,,,"[Synset('wing_chair.n.01')]],",,,,l,,y,,specific contextual term ,Synset('wing_chair.n.01')
furniture piece_of_furniture article_of_furniture,furnishings that make a room or other area ready for occupancy,"[Synset('furniture.n.01'),",,,,,,,,,h,,y,,superordinate term - start of branch ,Synset('furniture.n.01')
washstand wash-hand_stand,furniture consisting of a table or stand to hold a basin and pitcher of water for washing: `wash-hand stand' is a British term,,,,,,,,,,l,,y,,,Synset('washstand.n.01')
bedroom_furniture,furniture intended for use in a bedroom,,"[Synset('bedroom_furniture.n.01'),",,,,,,,,h,,y,,superordinate - general category of furniture in bedroom,Synset('bedroom_furniture.n.01')
dining-room_furniture,furniture intended for use in a dining room,,"[Synset('dining-room_furniture.n.01'),",,,,,,,,h,,y,,general term for furniture in dining room,Synset('dining-room_furniture.n.01')
office_furniture,furniture intended for use in an office,,"[Synset('office_furniture.n.01'),",,,,,,,,h,,y,,more general than basic level ,Synset('office_furniture.n.01')
lawn_furniture,furniture intended for use on a lawn or in a garden,,"[Synset('lawn_furniture.n.01')],",,,,,,,,h,,y,,general term for garden furniture - higher but unsure what the bl would be,Synset('lawn_furniture.n.01')
nest,furniture pieces made to fit close together,,"[Synset('nest.n.05')],",,,,,,,,h,x,y,,possible no basic level? quite abstract,Synset('nest.n.05')
seat,furniture that is designed for sitting on,,"[Synset('seat.n.03'),",,,,,,,,b,,y,x,could be basic level or superordinate as can be anything you can sit upon or subordinate as specific type of furniture for seating ,Synset('seat.n.03')
chest_of_drawers chest bureau dresser,furniture with drawers for keeping clothes,,"[Synset('chest_of_drawers.n.01'),",,,,,,,,b,,y,,chest would be basic level?,Synset('chest_of_drawers.n.01')
pool_table billiard_table snooker_table,game equipment consisting of a heavy table on which pool is played,,,"[Synset('pool_table.n.01')],",,,,,,,b,,y,,specific type of table,Synset('pool_table.n.01')
pew church_bench,long bench with backs; used in church by the congregation,,,,"[Synset('pew.n.01')],",,,,,,l,,y,,,Synset('pew.n.01')
prie-dieu,low bench for kneeling on,,,,"[Synset('prie-dieu.n.01')],",,,,,,l,,y,,,Synset('prie-dieu.n.01')
coffee_table cocktail_table,low table where magazines can be placed and coffee or cocktails are served,,,"[Synset('coffee_table.n.01')],",,,,,,,l,,y,,specific type of table,Synset('coffee_table.n.01')
dressing_table dresser vanity toilet_table,low table with mirror or mirrors where one sits while dressing or applying makeup,,,"[Synset('dressing_table.n.01')],",,,,,,,l,,y,,specific type of table,Synset('dressing_table.n.01')
milking_stool,low three-legged stool with a half round seat; used to sit on while milking a cow,,,,"[Synset('milking_stool.n.01')],",,,,,,l,,y,,,Synset('milking_stool.n.01')
file file_cabinet filing_cabinet,office furniture consisting of a container for keeping papers in order,,,"[Synset('file.n.03'),",,,,,,,l,,y,,type of cabinet in office - cabinet BL?,Synset('file.n.03')
twin_bed,one of a pair of identical beds,,,,"[Synset('twin_bed.n.01')],",,,,,,l,,y,,,Synset('twin_bed.n.01')
platform_rocker,rocking chair on a stationary base,,,,,"[Synset('platform_rocker.n.01')],",,,,,l,,y,,specific type of chair ,Synset('platform_rocker.n.01')
minibar cellaret,sideboard with compartments for holding bottles,,,"[Synset('minibar.n.01')]],",,,,,,,l,,y,,specific type of bar,Synset('minibar.n.01')
love_seat loveseat tete-a-tete vis-a-vis,small sofa that seats two people,,,,"[Synset('love_seat.n.01')],",,,,,,l,,y,,,Synset('love_seat.n.01')
milk_bar,snack bar that sells milk drinks and light refreshments (such as ice cream),,,,,,"[Synset('milk_bar.n.01')]],",,,,l,,y,,specific,Synset('milk_bar.n.01')
Windsor_chair,straight chair having a shaped seat and a back of many spindles,,,,,"[Synset('windsor_chair.n.01')]],",,,,,l,,y,,specific type of chair ,Synset('windsor_chair.n.01')
counter,table consisting of a horizontal surface over which business is transacted,,,"[Synset('counter.n.01'),",,,,,,,l,,y,,specific type of table,Synset('counter.n.01')
