Synonyms,Glossary,Synset in hierarchy,,,,,,,,,Synset,Label,PossibleNone,Familiar,UnfamiliarANDunsure,Notes
double-breasted_jacket,a jacket having fronts that overlap enough for two separate rows of buttons,,,,,"[Synset('double-breasted_jacket.n.01')],",,,,,Synset('double-breasted_jacket.n.01'),l,,y,,
single-breasted_jacket,a jacket having fronts that overlap only enough for a single row of buttons,,,,,"[Synset('single-breasted_jacket.n.01')],",,,,,Synset('single-breasted_jacket.n.01'),l,,y,,
neckerchief,a kerchief worn around the neck,,,,"[Synset('neckerchief.n.01')]],",,,,,,Synset('neckerchief.n.01'),l,,y,,
headscarf,a kerchief worn over the head and tied under the chin,,,,"[Synset('headscarf.n.01'),",,,,,,Synset('headscarf.n.01'),l,,y,,
parka windbreaker windcheater anorak,a kind of heavy jacket (`windcheater' is a British term),,,,,"[Synset('parka.n.01'),",,,,,Synset('parka.n.01'),l,,y,,
kilt,a knee-length pleated tartan skirt worn by men as part of the traditional dress in the Highlands of northern Scotland,,,"[Synset('kilt.n.01')],",,,,,,,Synset('kilt.n.01'),l,,y,,
opera_cloak opera_hood,a large cloak worn over evening clothes,,,,"[Synset('opera_cloak.n.01')],",,,,,,Synset('opera_cloak.n.01'),l,,y,,
lab_coat laboratory_coat,a light coat worn to protect clothing from substances used while working in a laboratory,,,,"[Synset('lab_coat.n.01')],",,,,,,Synset('lab_coat.n.01'),l,,y,,
Mao_jacket,a light weight jacket with a high collar; worn by Mao Zedong and the Chinese people during his regime,,,,,"[Synset('mao_jacket.n.01')],",,,,,Synset('mao_jacket.n.01'),l,,n,,
Burberry,a lightweight belted raincoat typically made of tan gabardine with a distinctive tartan lining; named for the original manufacturer,,,,,"[Synset('burberry.n.01')],",,,,,Synset('burberry.n.01'),l,,y,,
bed_jacket,a lightweight jacket worn over bedclothes (as when sitting in bed),,,,,"[Synset('bed_jacket.n.01')],",,,,,Synset('bed_jacket.n.01'),l,,y,,
fichu,a lightweight triangular scarf worn by a woman,,,"[Synset('fichu.n.01')],",,,,,,,Synset('fichu.n.01'),l,,y,,
serape sarape,a long brightly colored shawl; worn mainly by Mexican men,,,,,"[Synset('serape.n.01')]],",,,,,Synset('serape.n.01'),l,,y,,
capote hooded_cloak,a long cloak with a hood that can be pulled over the head,,,,"[Synset('capote.n.02')],",,,,,,Synset('capote.n.02'),l,,y,,
cope,a long cloak; worn by a priest or bishop on ceremonial occasions,,,,"[Synset('cope.n.02')],",,,,,,Synset('cope.n.02'),l,,y,,
newmarket,a long close-fitting coat worn for riding in the 19th century,,,,"[Synset('newmarket.n.01')],",,,,,,Synset('newmarket.n.01'),l,,y,,
burnous burnoose burnouse,a long hooded cloak woven of wool in one piece; worn by Arabs and Moors,,,,"[Synset('burnous.n.01')],",,,,,,Synset('burnous.n.01'),l,,y,,
dhoti,a long loincloth worn by Hindu men,,,"[Synset('dhoti.n.01')]],",,,,,,,Synset('dhoti.n.01'),l,,n,,subordinate of breechcloth^^
four-in-hand,a long necktie that is tied in a slipknot with one end hanging in front of the other,,,,"[Synset('four-in-hand.n.01')],",,,,,,Synset('four-in-hand.n.01'),l,,y,,
capote hooded_coat,a long overcoat with a hood that can be pulled over the head,,,,,"[Synset('capote.n.01')],",,,,,Synset('capote.n.01'),l,,y,,
maxi,a long skirt ending below the calf,,,"[Synset('maxi.n.01')],",,,,,,,Synset('maxi.n.01'),l,,y,,
full_skirt,a long skirt gathered at the waist,,,"[Synset('full_skirt.n.01')],",,,,,,,Synset('full_skirt.n.01'),l,,y,,
hobble_skirt,"a long skirt very narrow below the knees, worn between 1910 and 1914",,,"[Synset('hobble_skirt.n.01')],",,,,,,,Synset('hobble_skirt.n.01'),l,,y,,
feather_boa boa,a long thin fluffy scarf of feathers or fur,,,"[Synset('feather_boa.n.01')],",,,,,,,Synset('feather_boa.n.01'),l,,y,,
kameez,a long tunic worn by many people from the Indian subcontinent (usually with a salwar or churidars),,,,,"[Synset('kameez.n.01')],",,,,,Synset('kameez.n.01'),l,,y,,
rebozo,a long woolen or linen scarf covering the head and shoulders (also used as a sling for holding a baby); traditionally worn by Latin-American women,,,"[Synset('rebozo.n.01')],",,,,,,,Synset('rebozo.n.01'),l,,n,,
dashiki daishiki,a loose and brightly colored African shirt,,,"[Synset('dashiki.n.01')],",,,,,,,Synset('dashiki.n.01'),l,,n,,
jellaba,a loose cloak with a hood; worn in the Middle East and northern Africa,,,,"[Synset('jellaba.n.01')],",,,,,,Synset('jellaba.n.01'),l,,y,,
kurta,a loose collarless shirt worn by many people on the Indian subcontinent (usually with a salwar or churidars or pyjama),,,"[Synset('kurta.n.01')],",,,,,,,Synset('kurta.n.01'),l,,y,,
banyan banian,a loose fitting jacket; originally worn in India,,,,,"[Synset('banyan.n.02')],",,,,,Synset('banyan.n.02'),l,,y,,
bush_jacket,a loose fitting jacket; resembles a shirt with four patch pockets and a belt,,,,,"[Synset('bush_jacket.n.01')],",,,,,Synset('bush_jacket.n.01'),l,,y,,
burqa burka,a loose garment (usually with veiled holes for the eyes) worn by Muslim women especially in India and Pakistan,,"[Synset('burqa.n.01')],",,,,,,,,Synset('burqa.n.01'),b,,y,,
domino,a loose hooded cloak worn with a half mask as part of a masquerade costume,,,,"[Synset('domino.n.02')],",,,,,,Synset('domino.n.02'),l,,y,,
jumper,a loose jacket or blouse worn by workmen,,,,,"[Synset('jumper.n.06')],",,,,,Synset('jumper.n.06'),b,,y,x,"from description - subordinate, general term jumper may be basic level"
surcoat,a loose outer coat usually of rich material,,,,"[Synset('surcoat.n.01')],",,,,,,Synset('surcoat.n.01'),l,,y,,
cloak,a loose outer garment,,,"[Synset('cloak.n.02'),",,,,,,,Synset('cloak.n.02'),h,,y,,
kimono,a loose robe; imitated from robes originally worn by Japanese,,,"[Synset('kimono.n.01')]],",,,,,,,Synset('kimono.n.01'),l,,y,,
camise,a loose shirt or tunic; originally worn in the Middle Ages,,,"[Synset('camise.n.01')],",,,,,,,Synset('camise.n.01'),l,,n,,
sarong,a loose skirt consisting of brightly colored fabric wrapped around the body; worn by both women and men in the South Pacific,,,"[Synset('sarong.n.01')]],",,,,,,,Synset('sarong.n.01'),l,,y,,
aba,a loose sleeveless outer garment made from aba cloth; worn by Arabs,,,"[Synset('aba.n.01')],",,,,,,,Synset('aba.n.01'),h,,y,,general term for gatments from aba 
bathrobe,a loose-fitting robe of towelling; worn after a bath or swim,,,"[Synset('bathrobe.n.01')],",,,,,,,Synset('bathrobe.n.01'),l,,y,,robe is basic level
oilskin slicker,a macintosh made from cotton fabric treated with oil and pigment to make it waterproof,,,,,,"[Synset('oilskin.n.01')]],",,,,Synset('oilskin.n.01'),l,,n,,
doublet,a man's close-fitting jacket; worn during the Renaissance,,,,,"[Synset('doublet.n.01')],",,,,,Synset('doublet.n.01'),l,,y,,
cutaway,a man's coat cut diagonally from the waist to the back of the knees,,,,"[Synset('cutaway.n.02')],",,,,,,Synset('cutaway.n.02'),l,,y,,
frock_coat,a man's coat having knee-length skirts front and back; worn in the 19th century,,,,"[Synset('frock_coat.n.01'),",,,,,,Synset('frock_coat.n.01'),l,,y,,
Prince_Albert,a man's double-breasted frock coat,,,,,"[Synset('prince_albert.n.02')]],",,,,,Synset('prince_albert.n.02'),l,,y,,
swallow-tailed_coat swallowtail morning_coat,a man's full-dress jacket with two long tapering tails at the back,,,,,"[Synset('swallow-tailed_coat.n.01')]],",,,,,Synset('swallow-tailed_coat.n.01'),l,,y,,
surtout,a man's overcoat in the style of a frock coat,,,,,"[Synset('surtout.n.01')],",,,,,Synset('surtout.n.01'),l,,y,,
vest waistcoat,a man's sleeveless garment worn underneath a coat,,"[Synset('vest.n.01'),",,,,,,,,Synset('vest.n.01'),b,,y,,
bow_tie bow-tie bowtie,a man's tie that ties in a bow,,,,"[Synset('bow_tie.n.01'),",,,,,,Synset('bow_tie.n.01'),l,,y,,
dress_shirt evening_shirt,a man's white shirt (with a starch front) for evening wear (usually with a tuxedo),,,"[Synset('dress_shirt.n.01')],",,,,,,,Synset('dress_shirt.n.01'),l,,y,,
trench_coat,a military style raincoat; belted with deep pockets,,,,,"[Synset('trench_coat.n.01')]],",,,,,Synset('trench_coat.n.01'),l,,y,,
toga,a one-piece cloak worn by men in ancient Rome,,,,"[Synset('toga.n.01'),",,,,,,Synset('toga.n.01'),l,,y,,
romper romper_suit,a one-piece garment for children to wear at play; the lower part is shaped like bloomers,,"[Synset('romper.n.02')],",,,,,,,,Synset('romper.n.02'),b,,y,,standard term for babygrow 
body_stocking,a one-piece tight-fitting undergarment for women that covers the torso (and may have sleeves and legs),,,"[Synset('body_stocking.n.01')],",,,,,,,Synset('body_stocking.n.01'),b,,y,,
salwar shalwar,a pair of light loose trousers with a tight fit around the ankles; worn by women from the Indian subcontinent (usually with a kameez),,,"[Synset('salwar.n.01')],",,,,,,,Synset('salwar.n.01'),l,,y,,
pajama pyjama,a pair of loose trousers tied by a drawstring around the waist; worn by men and women in some Asian countries,,,"[Synset('pajama.n.01')],",,,,,,,Synset('pajama.n.01'),l,,y,x,"type of trouser by definition, but pajamas in general may be basic level"
pants_suit pantsuit,a pair of pants and a matching jacket worn by women,,,,"[Synset('pants_suit.n.01')]],",,,,,,Synset('pants_suit.n.01'),l,,y,,
ski_parka ski_jacket,a parka to be worn while skiing,,,,,,"[Synset('ski_parka.n.01')]],",,,,Synset('ski_parka.n.01'),l,,y,,
face_veil,a piece of more-or-less transparent material that covers the face,,,"[Synset('face_veil.n.01'),",,,,,,,Synset('face_veil.n.01'),h,,y,,
Levi's levis,a popular brand of jeans,,,,"[Synset('levi's.n.01')]],",,,,,,Synset('levi's.n.01'),l,,y,,
dressing_gown robe-de-chambre lounging_robe,a robe worn before dressing or while lounging,,,"[Synset('dressing_gown.n.01')],",,,,,,,Synset('dressing_gown.n.01'),l,,y,,possible BL
pea_jacket peacoat,a sailor's heavy woolen double-breasted jacket,,,,,"[Synset('pea_jacket.n.01')],",,,,,Synset('pea_jacket.n.01'),l,,y,,
sable,a scarf (or trimming) made of sable,,,"[Synset('sable.n.04')],",,,,,,,Synset('sable.n.04'),l,,n,,
lambrequin,a scarf that covers a knight's helmet,,,"[Synset('lambrequin.n.01')],",,,,,,,Synset('lambrequin.n.01'),l,,n,,
tudung,a scarf worn around the head by Muslim women in Malaysia; conceals the hair but not the face,,,"[Synset('tudung.n.01')]],",,,,,,,Synset('tudung.n.01'),l,,n,,
muffler,a scarf worn around the neck,,,"[Synset('muffler.n.02')],",,,,,,,Synset('muffler.n.02'),l,,y,,
patka,a scarf worn by Sikh men,,,"[Synset('patka.n.01')],",,,,,,,Synset('patka.n.01'),l,,n,,
suit suit_of_clothes,a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color,,"[Synset('suit.n.01'),",,,,,,,,Synset('suit.n.01'),b,,y,,
polo_shirt sport_shirt,a shirt with short sleeves designed for comfort and casual wear,,,"[Synset('polo_shirt.n.01')],",,,,,,,Synset('polo_shirt.n.01'),l,,y,,
coatee,a short close-fitting coat,,,,"[Synset('coatee.n.01')],",,,,,,Synset('coatee.n.01'),l,,y,,
jacket,a short coat,,,,"[Synset('jacket.n.01'),",,,,,,Synset('jacket.n.01'),b,,y,x,"subordinate of coat, but used as basic level"
box_coat,a short coat that hangs loosely from the shoulders,,,,"[Synset('box_coat.n.01')],",,,,,,Synset('box_coat.n.01'),l,,y,,
bolero,a short jacket; worn mostly by women,,,,,"[Synset('bolero.n.02')],",,,,,Synset('bolero.n.02'),l,,y,,
chlamys,a short mantle or cape fastened at the shoulder; worn by men in ancient Greece,,,,,"[Synset('chlamys.n.02')],",,,,,Synset('chlamys.n.02'),l,,y,,
mackinaw Mackinaw_coat,a short plaid coat made of made of thick woolen material,,,,"[Synset('mackinaw.n.01')],",,,,,,Synset('mackinaw.n.01'),l,,y,,
tabard,a short sleeveless outer tunic emblazoned with a coat of arms; worn by a knight over his armor or by a herald,,,,,"[Synset('tabard.n.01')]],",,,,,Synset('tabard.n.01'),l,,y,,
camisole underbodice,a short sleeveless undergarment for women,,,"[Synset('camisole.n.01')],",,,,,,,Synset('camisole.n.01'),l,,y,,
donkey_jacket,a short thick jacket; often worn by workmen,,,,,"[Synset('donkey_jacket.n.01')],",,,,,Synset('donkey_jacket.n.01'),l,,y,,
lumberjack lumber_jacket,a short warm outer jacket,,,,,"[Synset('lumberjack.n.02')],",,,,,Synset('lumberjack.n.02'),l,,y,,
lavalava,a skirt consisting of a rectangle of calico or printed cotton; worn by Polynesians (especially Samoans),,,"[Synset('lavalava.n.01')],",,,,,,,Synset('lavalava.n.01'),l,,y,,
grass_skirt,a skirt made of long blades of grass,,,"[Synset('grass_skirt.n.01')],",,,,,,,Synset('grass_skirt.n.01'),l,,y,,
hoopskirt crinoline,a skirt stiffened with hoops,,,"[Synset('hoopskirt.n.01')],",,,,,,,Synset('hoopskirt.n.01'),l,,y,,
gathered_skirt,a skirt whose fabric is drawn together around the waist,,,"[Synset('gathered_skirt.n.01'),",,,,,,,Synset('gathered_skirt.n.01'),l,,y,,
pelisse,a sleeveless cape that is lined or trimmed with fur,,,,,"[Synset('pelisse.n.01')],",,,,,Synset('pelisse.n.01'),l,,y,,
cape mantle,a sleeveless garment like a cloak but shorter,,,,"[Synset('cape.n.02'),",,,,,,Synset('cape.n.02'),l,,y,,
gymslip,a sleeveless tunic worn by English girls as part of a school uniform,,,,,"[Synset('gymslip.n.01')],",,,,,Synset('gymslip.n.01'),l,,y,,
kerchief,a square scarf that is folded into a triangle and worn over the head or about the neck,,,"[Synset('kerchief.n.01'),",,,,,,,Synset('kerchief.n.01'),l,,y,,
puttee,a strip of cloth wound around the leg to form legging; used by soldiers in World War I,,,"[Synset('puttee.n.01')],",,,,,,,Synset('puttee.n.01'),l,,n,,
single-breasted_suit,a suit having a single-breasted jacket,,,"[Synset('single-breasted_suit.n.01')],",,,,,,,Synset('single-breasted_suit.n.01'),l,,y,,
pinstripe,a suit made from a fabric with very thin stripes,,,"[Synset('pinstripe.n.01')],",,,,,,,Synset('pinstripe.n.01'),l,,y,,
business_suit,a suit of clothes traditionally worn by businessmen,,,"[Synset('business_suit.n.01'),",,,,,,,Synset('business_suit.n.01'),l,,y,,
double-breasted_suit,a suit with a double-breasted jacket,,,"[Synset('double-breasted_suit.n.01')],",,,,,,,Synset('double-breasted_suit.n.01'),l,,y,,
turtleneck turtle polo-neck,a sweater or jersey with a high close-fitting collar,,,,"[Synset('turtleneck.n.01')]],",,,,,,Synset('turtleneck.n.01'),l,,y,,
turtleneck turtle polo-neck,a sweater or jersey with a high close-fitting collar,,,"[Synset('turtleneck.n.01')]],",,,,,,,Synset('turtleneck.n.01'),x,,y,,duplicate
pullover slipover,a sweater that is put on by pulling it over the head,,,"[Synset('pullover.n.01'),",,,,,,,Synset('pullover.n.01'),l,,y,,
jerkin,a tight sleeveless and collarless jacket (often made of leather) worn by men in former times,,,,,"[Synset('jerkin.n.01')],",,,,,Synset('jerkin.n.01'),l,,y,,
leotard unitard body_suit cat_suit,a tight-fitting garment of stretchy material that covers the body from the shoulders to the thighs (and may have long sleeves or legs reaching down to the ankles); worn by ballet dancers and acrobats for practice or performance,,"[Synset('leotard.n.01')],",,,,,,,,Synset('leotard.n.01'),b,,y,,
tank_top,a tight-fitting sleeveless shirt with wide shoulder straps and low neck and no front opening; often worn over a shirt or blouse,,,"[Synset('tank_top.n.01')],",,,,,,,Synset('tank_top.n.01'),l,,y,,
surcoat,a tunic worn over a knight's armor,,,,,"[Synset('surcoat.n.02')],",,,,,Synset('surcoat.n.02'),l,,y,,
string_tie,a very narrow necktie usually tied in a bow,,,,"[Synset('string_tie.n.01')],",,,,,,Synset('string_tie.n.01'),l,,y,,
miniskirt mini,a very short skirt,,,"[Synset('miniskirt.n.01')],",,,,,,,Synset('miniskirt.n.01'),l,,y,,
bulletproof_vest,a vest capable of resisting the impact of a bullet,,,"[Synset('bulletproof_vest.n.01')]],",,,,,,,Synset('bulletproof_vest.n.01'),l,x,y,,
izar,a voluminous cotton outer garment (usually white) traditionally worn by Muslim women of northern Africa and the Middle East; covers the entire body,,,"[Synset('izar.n.01')],",,,,,,,Synset('izar.n.01'),b,,n,x,sounds like basic level from description but unsure on item 
duffel_coat duffle_coat,a warm coat made of duffel; usually has a hood and fastens with toggles,,,,"[Synset('duffel_coat.n.01')],",,,,,,Synset('duffel_coat.n.01'),l,,y,,
raincoat waterproof,a water-resistant coat,,,,"[Synset('raincoat.n.01'),",,,,,,Synset('raincoat.n.01'),l,,y,,
macintosh mackintosh mac mack,a waterproof raincoat made of rubberized fabric,,,,,"[Synset('macintosh.n.02'),",,,,,Synset('macintosh.n.02'),l,,y,,
garter_belt suspender_belt,a wide belt of elastic with straps hanging from it; worn by women to hold up stockings,,,"[Synset('garter_belt.n.01')],",,,,,,,Synset('garter_belt.n.01'),l,x,y,,
Windsor_tie,a wide necktie worn in a loose bow,,,,"[Synset('windsor_tie.n.01')]]],",,,,,,Synset('windsor_tie.n.01'),l,,y,,
stole,a wide scarf worn about their shoulders by women,,,"[Synset('stole.n.01')],",,,,,,,Synset('stole.n.01'),l,,n,,
dolman,a woman's cloak with dolman sleeves,,,,"[Synset('dolman.n.02')],",,,,,,Synset('dolman.n.02'),l,,y,,
