Synonyms,Glossary,Synset in hierarchy,,,,,,,,,Label,PossibleNone,Familiar,UnfamiliarANDunsure,Notes,"Note: I've moved columns I-M to L-P, because otherwise my labels override the lowest leaves of the WordNet branch'="
marriage_bed,the bed shared by a newly wed couple,,,,"[Synset('marriage_bed.n.01')],",,,,,,l,x,,,,
Murphy_bed,a bed that can be folded or swung into a cabinet when not being used,,,,"[Synset('murphy_bed.n.01')],",,,,,,l,,,,,
plank-bed,a bed of boards (without a mattress),,,,"[Synset('plank-bed.n.01')],",,,,,,l,,,,,
platform_bed,a bed without springs,,,,"[Synset('platform_bed.n.01')],",,,,,,l,,,,,
sickbed,the bed on which a sick person lies,,,,"[Synset('sickbed.n.01')],",,,,,,l,x,,,,
single_bed,a bed for one occupant,,,,"[Synset('single_bed.n.01'),",,,,,,l,,,,,
hospital_bed,a single bed with a frame in three sections so the head or middle or foot can be raised as required,,,,,"[Synset('hospital_bed.n.01')]],",,,,,l,,,,,
sleigh_bed,a bed with solid headboard and footboard that roll outward at the top,,,,"[Synset('sleigh_bed.n.01')],",,,,,,l,,,,,
trundle_bed trundle truckle_bed truckle,a low bed to be slid under a higher bed,,,,"[Synset('trundle_bed.n.01')],",,,,,,l,,,,,
twin_bed,one of a pair of identical beds,,,,"[Synset('twin_bed.n.01')],",,,,,,l,,,,,
water_bed,a bed with a mattress made of strong plastic that is filled with water,,,,"[Synset('water_bed.n.01')]]],",,,,,,l,,,,,
bedstead bedframe,the framework of a bed,,"[Synset('bedstead.n.01')],",,,,,,,,l,x,,,unsure,
bookcase,a piece of furniture with shelves for storing books,,"[Synset('bookcase.n.01')],",,,,,,,,b,,,,,
buffet counter sideboard,a piece of furniture that stands at the side of a dining room; has shelves and drawers,,"[Synset('buffet.n.01'),",,,,,,,,b,,,,,
credenza credence,a kind of sideboard or buffet,,,"[Synset('credenza.n.01')],",,,,,,,l,,,,,
minibar cellaret,sideboard with compartments for holding bottles,,,"[Synset('minibar.n.01')]],",,,,,,,l,,,,,
cabinet,a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display,,"[Synset('cabinet.n.01'),",,,,,,,,b,,,,,
china_cabinet china_closet,a cabinet (usually with glass doors) for storing and displaying china,,,"[Synset('china_cabinet.n.01')],",,,,,,,l,,,,,
dresser,a cabinet with shelves,,,"[Synset('dresser.n.05')],",,,,,,,l,,,,,
medicine_chest medicine_cabinet,cabinet that holds medicines and toiletries,,,"[Synset('medicine_chest.n.01')]],",,,,,,,l,,,,,
chest_of_drawers chest bureau dresser,furniture with drawers for keeping clothes,,"[Synset('chest_of_drawers.n.01'),",,,,,,,,b,,,,,
chiffonier commode,a tall elegant chest of drawers,,,"[Synset('chiffonier.n.01')],",,,,,,,l,,,,,
highboy tallboy,a tall chest of drawers divided into two sections and supported on four legs,,,"[Synset('highboy.n.01')],",,,,,,,l,,,,,
lowboy,a low chest or table with drawers and supported on four legs,,,"[Synset('lowboy.n.01')]],",,,,,,,l,,,,,
dining-room_furniture,furniture intended for use in a dining room,,"[Synset('dining-room_furniture.n.01'),",,,,,,,,h,,,,,
dining-room_table,dining-room furniture consisting of a table on which meals can be served,,,"[Synset('dining-room_table.n.01')]],",,,,,,,l,,,,,
etagere,a piece of furniture with open shelves for displaying small ornaments,,"[Synset('etagere.n.01')],",,,,,,,,l,,,,unsure,
fitment,any of the items furnishing or equipping a room (especially built-in furniture),,"[Synset('fitment.n.01')],",,,,,,,,h,x,,,,
hallstand,a piece of furniture where coats and hats and umbrellas can be hung; usually has a mirror,,"[Synset('hallstand.n.01')],",,,,,,,,l,,,,unsure,
lamp,a piece of furniture holding one or more electric light bulbs,,"[Synset('lamp.n.02'),",,,,,,,,b,,,,,
floor_lamp,a lamp that stands on the floor,,,"[Synset('floor_lamp.n.01')],",,,,,,,l,,,,,
reading_lamp,a lamp that provides light for reading,,,"[Synset('reading_lamp.n.01'),",,,,,,,l,,,,,
student_lamp,a reading lamp with a flexible neck; used on a desk,,,,"[Synset('student_lamp.n.01')]],",,,,,,l,,,,,
table_lamp,a lamp that sits on a table,,,"[Synset('table_lamp.n.01')]],",,,,,,,l,,,,,
lawn_furniture,furniture intended for use on a lawn or in a garden,,"[Synset('lawn_furniture.n.01')],",,,,,,,,h,,,,,
nest,furniture pieces made to fit close together,,"[Synset('nest.n.05')],",,,,,,,,h,x,,,,
office_furniture,furniture intended for use in an office,,"[Synset('office_furniture.n.01'),",,,,,,,,h,,,,,
file file_cabinet filing_cabinet,office furniture consisting of a container for keeping papers in order,,,"[Synset('file.n.03'),",,,,,,,l,,,,,
card_index card_catalog card_catalogue,"an alphabetical listing of items (e.g., books in a library) with a separate card for each item",,,,"[Synset('card_index.n.01'),",,,,,,l,,,,,
Rolodex,"(trademark) a desktop rotary card index with removable cards; usually used for names, addresses, and telephone numbers",,,,,"[Synset('rolodex.n.01')]],",,,,,l,,,,,
vertical_file,a file in which records are stored upright on one edge,,,,"[Synset('vertical_file.n.01')]]],",,,,,,l,,,,,
seat,furniture that is designed for sitting on,,"[Synset('seat.n.03'),",,,,,,,,h,,,,,
bench,a long seat for more than one person,,,"[Synset('bench.n.01'),",,,,,,,b,,,,,
banquette,an upholstered bench,,,,"[Synset('banquette.n.01')],",,,,,,l,,,,,
flat_bench,a bench on which a weightlifter lies to do exercises,,,,"[Synset('flat_bench.n.01')],",,,,,,l,,,,unsure,
park_bench,a bench in a public park,,,,"[Synset('park_bench.n.01')],",,,,,,l,,,,,
penalty_box,(ice hockey) an enclosed bench to the side of an ice-hockey rink for players who are serving time penalties,,,,"[Synset('penalty_box.n.01')],",,,,,,l,x,,,,
pew church_bench,long bench with backs; used in church by the congregation,,,,"[Synset('pew.n.01')],",,,,,,l,,,,,
prie-dieu,low bench for kneeling on,,,,"[Synset('prie-dieu.n.01')],",,,,,,l,,,,"unsure, could be basic level, has a very specific movement associated with it",
settle settee,a long wooden bench with a back,,,,"[Synset('settle.n.01')],",,,,,,l,,,,,
window_seat,a bench or similar seat built into a window recess,,,,"[Synset('window_seat.n.01')]],",,,,,,l,,,,,
bench,(law) the seat for judges in a courtroom,,,"[Synset('bench.n.07')],",,,,,,,l,x,,,,
box box_seat,the driver's seat on a coach,,,"[Synset('box.n.08')],",,,,,,,l,x,,,,
box_seat,a special seat in a theater or grandstand box,,,"[Synset('box_seat.n.01')],",,,,,,,l,,,,,
chair,"a seat for one person, with a support for the back",,,"[Synset('chair.n.01'),",,,,,,,b,,,,,
armchair,chair with a support on each side for arms,,,,"[Synset('armchair.n.01'),",,,,,,l,,,,,
captain's_chair,a wooden armchair with a saddle seat and a low back that has vertical spindles,,,,,"[Synset('captain's_chair.n.01')],",,,,,l,,,,,
easy_chair lounge_chair overstuffed_chair,a comfortable upholstered armchair,,,,,"[Synset('easy_chair.n.01'),",,,,,l,,,,,
wing_chair,easy chair having wings on each side of a high back,,,,,,"[Synset('wing_chair.n.01')]],",,,,l,,,,,
fauteuil,an upholstered armchair,,,,,"[Synset('fauteuil.n.01')],",,,,,l,,,,,
Morris_chair,an armchair with an adjustable back,,,,,"[Synset('morris_chair.n.01')],",,,,,l,,,,,
recliner reclining_chair lounger,an armchair whose back can be lowered and foot can be raised to allow the sitter to recline in it,,,,,"[Synset('recliner.n.01')]],",,,,,l,,,,,
barber_chair,a large fixed adjustable chair in which barbers seat their customers,,,,"[Synset('barber_chair.n.01')],",,,,,,l,,,,,
chair_of_state,a ceremonial chair for an exalted or powerful person,,,,"[Synset('chair_of_state.n.01'),",,,,,,l,x,,,,
throne,"the chair of state for a monarch, bishop, etc.",,,,,"[Synset('throne.n.01'),",,,,,b,,,,bl of bl,
cathedra bishop's_throne,a throne that is the official chair of a bishop,,,,,,"[Synset('cathedra.n.01')],",,,,l,,,,,
mercy_seat,the throne of God,,,,,,"[Synset('mercy_seat.n.01')],",,,,l,,,,,
musnud,a seat with a cushion that is used as a throne by Indian princes,,,,,,"[Synset('musnud.n.01')],",,,,l,,,,,
peacock-throne,the golden throne of former kings of Delhi; stolen by the Persians in 1739 and subsequently lost; symbol of the former Shah of Iran,,,,,,"[Synset('peacock-throne.n.01')]]],",,,,l,,,,,
chaise_longue chaise daybed,a long chair; for reclining,,,,"[Synset('chaise_longue.n.01')],",,,,,,l,,,,,
Eames_chair,a chair designed by Charles Eames; originally made of molded plywood; seat and back shaped to fit the human body,,,,"[Synset('eames_chair.n.01')],",,,,,,l,,,,,
fighting_chair,a fixed chair from which a saltwater angler can fight a hooked fish,,,,"[Synset('fighting_chair.n.01')],",,,,,,l,,,,,
folding_chair,a chair that can be folded flat for storage,,,,"[Synset('folding_chair.n.01'),",,,,,,l,,,,,
camp_chair,a light folding chair,,,,,"[Synset('camp_chair.n.01')],",,,,,l,,,,,
deck_chair beach_chair,a folding chair for use outdoors; a wooden frame supports a length of canvas,,,,,"[Synset('deck_chair.n.01')],",,,,,l,,,,,
yacht_chair,a light folding armchair for outdoor use,,,,,"[Synset('yacht_chair.n.01')]],",,,,,l,,,,,
highchair feeding_chair,a chair for feeding a very young child; has four long legs and a footrest and a detachable tray,,,,"[Synset('highchair.n.01')],",,,,,,l,,,,,
ladder-back ladder-back_chair,a chair with a ladder-back,,,,"[Synset('ladder-back.n.01')],",,,,,,l,,,,,
lawn_chair garden_chair,chair left outside for use on a lawn or in a garden,,,,"[Synset('lawn_chair.n.01')],",,,,,,l,,,,,
rocking_chair rocker,a chair mounted on rockers,,,,"[Synset('rocking_chair.n.01'),",,,,,,l,,,,,
Boston_rocker,a rocking chair that has a high spindle back and a decorative top panel,,,,,"[Synset('boston_rocker.n.01')],",,,,,l,,,,,
platform_rocker,rocking chair on a stationary base,,,,,"[Synset('platform_rocker.n.01')],",,,,,l,,,,,
shoofly,a child's rocking chair with the seat built between two flat sides that are shaped to resemble an animal (such as a swan or duck),,,,,"[Synset('shoofly.n.02')]],",,,,,l,,,,,
straight_chair side_chair,a straight-backed chair without arms,,,,"[Synset('straight_chair.n.01'),",,,,,,l,,,,,
Windsor_chair,straight chair having a shaped seat and a back of many spindles,,,,,"[Synset('windsor_chair.n.01')]],",,,,,l,,,,,
swivel_chair,a chair that swivels on its base,,,,"[Synset('swivel_chair.n.01')],",,,,,,l,,,,,
tablet-armed_chair,a chair with an arm that has been widened for writing,,,,"[Synset('tablet-armed_chair.n.01')],",,,,,,l,,,,,
wheelchair,a movable chair mounted on large wheels; for invalids or those who cannot walk; frequently propelled by the occupant,,,,"[Synset('wheelchair.n.01'),",,,,,,b,,,,bl of bl,
bath_chair,"a wheelchair usually pushed by an attendant, as at a spa",,,,,"[Synset('bath_chair.n.01')],",,,,,l,,,,,
motorized_wheelchair,a wheelchair propelled by a motor,,,,,"[Synset('motorized_wheelchair.n.01')]]],",,,,,l,,,,,
ottoman pouf pouffe puff hassock,thick cushion used as a seat,,,"[Synset('ottoman.n.03')],",,,,,,,b,,,,,
sofa couch lounge,an upholstered seat for more than one person,,,"[Synset('sofa.n.01'),",,,,,,,b,,,,,
convertible sofa_bed,a sofa that can be converted into a bed,,,,"[Synset('convertible.n.03'),",,,,,,l,,,,,
davenport,a large sofa usually convertible into a bed,,,,,"[Synset('davenport.n.03'),",,,,,l,,,,,
chesterfield,an overstuffed davenport with upright armrests,,,,,,"[Synset('chesterfield.n.02')]],",,,,l,,,,,
studio_couch day_bed,convertible consisting of an upholstered couch that can be converted into a double bed,,,,,"[Synset('studio_couch.n.01')]],",,,,,l,,,,,
daybed divan_bed,an armless couch; a seat by day and a bed by night,,,,"[Synset('daybed.n.01')],",,,,,,l,,,,,
divan,a long backless sofa (usually with pillows against a wall),,,,"[Synset('divan.n.01')],",,,,,,l,,,,,
love_seat loveseat tete-a-tete vis-a-vis,small sofa that seats two people,,,,"[Synset('love_seat.n.01')],",,,,,,l,,,,,
settee,a small sofa,,,,"[Synset('settee.n.02')],",,,,,,l,,,,,
squab,a soft padded sofa,,,,"[Synset('squab.n.02')]],",,,,,,l,,,,,
stool,a simple seat without a back or arms,,,"[Synset('stool.n.01'),",,,,,,,b,,,,,
campstool,a folding stool,,,,"[Synset('campstool.n.01')],",,,,,,l,,,,,
cutty_stool,"a low stool; formerly in Scotland, a seat in a church where an offender was publicly rebuked",,,,"[Synset('cutty_stool.n.01')],",,,,,,l,,,,,
footstool footrest ottoman tuffet,a low seat or a stool to rest the feet of a seated person,,,,"[Synset('footstool.n.01')],",,,,,,l,,,,,
milking_stool,low three-legged stool with a half round seat; used to sit on while milking a cow,,,,"[Synset('milking_stool.n.01')],",,,,,,l,,,,,
music_stool piano_stool,a stool for piano players; usually adjustable in height,,,,"[Synset('music_stool.n.01')],",,,,,,l,,,,,
step_stool,a stool that has one or two steps that fold under the seat,,,,"[Synset('step_stool.n.01')],",,,,,,l,,,,,
taboret tabouret,a low stool in the shape of a drum,,,,"[Synset('taboret.n.01')]],",,,,,,l,,,,,
toilet_seat,the hinged seat on a toilet,,,"[Synset('toilet_seat.n.01')]],",,,,,,,b,,,,unsure,
sectional,a piece of furniture made up of sections that can be arranged individually or together,,"[Synset('sectional.n.01')],",,,,,,,,h,x,,,,
Sheraton,a furniture style that originated in England around 1800; simple in design with straight lines and classical ornamentation,,"[Synset('sheraton.n.01')],",,,,,,,,h,x,,,,
sleeper,a piece of furniture that can be opened up into a bed,,"[Synset('sleeper.n.07')],",,,,,,,,h,,,,,
table,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs,,"[Synset('table.n.02'),",,,,,,,,b,,,,,
altar communion_table Lord's_table,the table in Christian churches where communion is given,,,"[Synset('altar.n.01')],",,,,,,,b,,,,I would have said B had it not been a subclass of table,
booth,a table (in a restaurant or bar) surrounded by two high-backed benches,,,"[Synset('booth.n.01')],",,,,,,,l,,,,,
breakfast_table,a table where breakfast is eaten,,,"[Synset('breakfast_table.n.01')],",,,,,,,l,,,,,
card_table,a table for playing cards (as in a casino),,,"[Synset('card_table.n.01')],",,,,,,,l,,,,,
card_table,a small light table with folding legs; can be folded for storage,,,"[Synset('card_table.n.02')],",,,,,,,l,,,,,
coffee_table cocktail_table,low table where magazines can be placed and coffee or cocktails are served,,,"[Synset('coffee_table.n.01')],",,,,,,,l,,,,,
conference_table council_table council_board,the table that conferees sit around as they hold a meeting,,,"[Synset('conference_table.n.01')],",,,,,,,l,,,,,
console_table console,a small table fixed to a wall or designed to stand against a wall,,,"[Synset('console_table.n.01')],",,,,,,,l,,,,,
counter,table consisting of a horizontal surface over which business is transacted,,,"[Synset('counter.n.01'),",,,,,,,l,,,,,
bar,a counter where you can obtain food or drink,,,,"[Synset('bar.n.02'),",,,,,,b,,,,,
cash_bar,a counter at a large party where you can purchase drinks by the glass,,,,,"[Synset('cash_bar.n.01')],",,,,,l,,,,,
oyster_bar,a bar (as in a restaurant) that specializes in oysters prepared in different ways,,,,,"[Synset('oyster_bar.n.01')],",,,,,l,,,,,
salad_bar,a bar where diners can assemble a salad to their own taste,,,,,"[Synset('salad_bar.n.01')],",,,,,l,,,,,
snack_bar snack_counter buffet,usually inexpensive bar,,,,,"[Synset('snack_bar.n.01'),",,,,,l,,,,,
commissary,a snack bar in a film studio,,,,,,"[Synset('commissary.n.02')],",,,,l,,,,,
milk_bar,snack bar that sells milk drinks and light refreshments (such as ice cream),,,,,,"[Synset('milk_bar.n.01')]],",,,,l,,,,,
soda_fountain,a counter where ice cream and sodas and sundaes are prepared and served,,,,,"[Synset('soda_fountain.n.01')],",,,,,l,,,,,
sushi_bar,a bar where sushi is served,,,,,"[Synset('sushi_bar.n.01')],",,,,,l,,,,,
wet_bar,a bar for mixing drinks that has a sink with running water,,,,,"[Synset('wet_bar.n.01')],",,,,,l,,,,,
wine_bar,a bar that serves only wine,,,,,"[Synset('wine_bar.n.01')]],",,,,,l,,,,,
checkout checkout_counter,a counter in a supermarket where you pay for your purchases,,,,"[Synset('checkout.n.03')],",,,,,,b,,,,,
meat_counter,counter where meats are displayed for sale,,,,"[Synset('meat_counter.n.01')],",,,,,,l,,,,,
notions_counter,counter where notions are sold,,,,"[Synset('notions_counter.n.01')],",,,,,,l,,,,,
reception_desk,a counter (as in a hotel) where guests are received,,,,"[Synset('reception_desk.n.01')]],",,,,,,l,,,,,
desk,a piece of furniture with a writing surface and usually drawers or other compartments,,,"[Synset('desk.n.01'),",,,,,,,b,,,,unsure,
davenport,a small decorative writing desk,,,,"[Synset('davenport.n.02')],",,,,,,l,,,,,
secretary writing_table escritoire secretaire,a desk used for writing,,,,"[Synset('secretary.n.04')],",,,,,,l,,,,,
writing_desk,a desk for writing (usually with a sloping top),,,,"[Synset('writing_desk.n.02')]],",,,,,,l,,,,,
dressing_table dresser vanity toilet_table,low table with mirror or mirrors where one sits while dressing or applying makeup,,,"[Synset('dressing_table.n.01')],",,,,,,,l,,,,,
drop-leaf_table,a table that has a drop-leaf to enlarge its surface,,,"[Synset('drop-leaf_table.n.01'),",,,,,,,l,,,,,
gateleg_table,a drop-leaf table with the drop-leaves supported by hinged legs,,,,"[Synset('gateleg_table.n.01')]],",,,,,,l,,,,,
gaming_table,a table used for gambling; may be equipped with a gameboard and slots for chips,,,"[Synset('gaming_table.n.01')],",,,,,,,h,,,,,
gueridon,a small round table,,,"[Synset('gueridon.n.01')],",,,,,,,l,,,,,
kitchen_table,a table in the kitchen,,,"[Synset('kitchen_table.n.01')],",,,,,,,l,,,,,
operating_table,table on which the patient lies during a surgical operation,,,"[Synset('operating_table.n.01')],",,,,,,,l,,,,,
Parsons_table,a sturdy rectangular table with block legs at the four corners; the top and the legs are the same width,,,"[Synset('parsons_table.n.01')],",,,,,,,l,,,,,
pedestal_table,a table supported by a single central column,,,"[Synset('pedestal_table.n.01'),",,,,,,,l,,,,,
tilt-top_table tip-top_table tip_table,a pedestal table whose top is hinged so that it can be tilted to a vertical position,,,,"[Synset('tilt-top_table.n.01')]],",,,,,,l,,,,,
pier_table,a low table set below a pier glass,,,"[Synset('pier_table.n.01')],",,,,,,,l,,,,,
platen,work table of a machine tool,,,"[Synset('platen.n.01')],",,,,,,,l,,,,,
pool_table billiard_table snooker_table,game equipment consisting of a heavy table on which pool is played,,,"[Synset('pool_table.n.01')],",,,,,,,b,,,,unsure,
stand,a small table for holding articles of various kinds,,,"[Synset('stand.n.04'),",,,,,,,l,,,,,
lectern reading_desk,desk or stand with a slanted top used to hold a text at the proper height for a lecturer,,,,"[Synset('lectern.n.01')]],",,,,,,l,,,,,
table-tennis_table ping-pong_table pingpong_table,a table used for playing table tennis,,,"[Synset('table-tennis_table.n.01')],",,,,,,,b,,,,,
tea_table,a small table for serving afternoon tea,,,"[Synset('tea_table.n.01')],",,,,,,,l,,,,,
trestle_table,a table supported on trestles,,,"[Synset('trestle_table.n.01')],",,,,,,,l,,,,,
worktable work_table,a table designed for a particular task,,,"[Synset('worktable.n.01'),",,,,,,,h,,,,,
drafting_table drawing_table,a worktable with adjustable top,,,,"[Synset('drafting_table.n.01')],",,,,,,l,,,,,
workbench work_bench bench,a strong worktable for a carpenter or mechanic,,,,"[Synset('workbench.n.01'),",,,,,,l,,,,,
lab_bench laboratory_bench,a workbench in a laboratory,,,,,"[Synset('lab_bench.n.01')]]]],",,,,,l,,,,,
table,a piece of furniture with tableware for a meal laid out on it,,"[Synset('table.n.03'),",,,,,,,,l,,,,,
dining_table board,a table at which meals are served,,,"[Synset('dining_table.n.01'),",,,,,,,l,,,,,
dining-room_table,dining-room furniture consisting of a table on which meals can be served,,,,"[Synset('dining-room_table.n.01')],",,,,,,l,,,,,
dinner_table,the dining table where dinner is served and eaten,,,,"[Synset('dinner_table.n.01')],",,,,,,l,,,,,
high_table,a dining table in a dining-hall raised on a platform; seats are reserved for distinguished persons,,,,"[Synset('high_table.n.01')],",,,,,,l,,,,,
refectory_table,a long narrow dining table supported by a stretcher between two trestles,,,,"[Synset('refectory_table.n.01')],",,,,,,l,,,,,
triclinium,a dining table with couches along three sides in ancient Rome,,,,"[Synset('triclinium.n.02')]]],",,,,,,l,,,,,
wall_unit,a piece of furniture having several units that stands against one wall of a room,,"[Synset('wall_unit.n.01'),",,,,,,,,h,,,,,
entertainment_center,a wall unit containing sound and television systems,,,"[Synset('entertainment_center.n.01')]],",,,,,,,l,,,,,
wardrobe closet press,a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes,,"[Synset('wardrobe.n.01'),",,,,,,,,b,,,,,
armoire,a large wardrobe or cabinet; originally used for storing weapons,,,"[Synset('armoire.n.01')],",,,,,,,l,,,,,
clothes_closet clothespress,a closet where clothes are stored,,,"[Synset('clothes_closet.n.01')],",,,,,,,l,,,,,
coat_closet,a closet for storing outerwear,,,"[Synset('coat_closet.n.01')]],",,,,,,,l,,,,,
washstand wash-hand_stand,furniture consisting of a table or stand to hold a basin and pitcher of water for washing: `wash-hand stand' is a British term,,,,,,,,,,l,,,,unsure,
