,Unnamed: 0,Synset,Name,Predicted
1137,1137,Synset('night.n.04'),night.n.04,b
1138,1138,Synset('picosecond.n.01'),picosecond.n.01,b
1140,1140,Synset('quarter.n.04'),quarter.n.04,b
1141,1141,Synset('second.n.01'),second.n.01,b
1143,1143,Synset('terrestrial_time.n.01'),terrestrial_time.n.01,b
1145,1145,Synset('premium.n.02'),premium.n.02,b
1156,1156,Synset('lexis.n.01'),lexis.n.01,b
1169,1169,Synset('makeup.n.02'),makeup.n.02,b
1171,1171,Synset('migration.n.03'),migration.n.03,b
1172,1172,Synset('miracle.n.02'),miracle.n.02,b
1182,1182,Synset('rapport.n.01'),rapport.n.01,b
1183,1183,Synset('sympathy.n.03'),sympathy.n.03,b
1187,1187,Synset('gradient.n.01'),gradient.n.01,b
1192,1192,Synset('concatenation.n.02'),concatenation.n.02,b
1200,1200,Synset('psychodynamics.n.01'),psychodynamics.n.01,b
1201,1201,Synset('affinity.n.02'),affinity.n.02,b
1202,1202,Synset('affinity.n.03'),affinity.n.03,b
1205,1205,Synset('descent.n.04'),descent.n.04,b
1210,1210,Synset('sisterhood.n.01'),sisterhood.n.01,b
1212,1212,Synset('homonymy.n.01'),homonymy.n.01,b
1216,1216,Synset('implication.n.04'),implication.n.04,b
1217,1217,Synset('modality.n.01'),modality.n.01,b
1218,1218,Synset('reflexivity.n.02'),reflexivity.n.02,b
1219,1219,Synset('transitivity.n.01'),transitivity.n.01,b
1224,1224,Synset('function.n.01'),function.n.01,b
1225,1225,Synset('parity.n.02'),parity.n.02,b
1239,1239,Synset('polarity.n.02'),polarity.n.02,b
1247,1247,Synset('proprietorship.n.01'),proprietorship.n.01,b
1251,1251,Synset('butt.n.02'),butt.n.02,b
1252,1252,Synset('detail.n.02'),detail.n.02,b
1253,1253,Synset('item.n.01'),item.n.01,b
1258,1258,Synset('unit.n.02'),unit.n.02,b
1263,1263,Synset('dead_center.n.01'),dead_center.n.01,b
1265,1265,Synset('gradient.n.02'),gradient.n.02,b
1272,1272,Synset('outwardness.n.02'),outwardness.n.02,b
1291,1291,Synset('mutuality.n.02'),mutuality.n.02,b
1300,1300,Synset('asynchronism.n.01'),asynchronism.n.01,b
1334,1334,Synset('antacid.n.01'),antacid.n.01,b
1336,1336,Synset('antifungal.n.01'),antifungal.n.01,b
1338,1338,Synset('bleaching_agent.n.01'),bleaching_agent.n.01,b
1341,1341,Synset('coolant.n.01'),coolant.n.01,b
1343,1343,Synset('disinfectant.n.01'),disinfectant.n.01,b
1353,1353,Synset('nerve_gas.n.01'),nerve_gas.n.01,b
1357,1357,Synset('viricide.n.01'),viricide.n.01,b
1358,1358,Synset('hazard.n.01'),hazard.n.01,b
1359,1359,Synset('menace.n.01'),menace.n.01,b
1364,1364,Synset('engineer.n.02'),engineer.n.02,b
1366,1366,Synset('jockey.n.02'),jockey.n.02,b
1370,1370,Synset('telegrapher.n.01'),telegrapher.n.01,b
1371,1371,Synset('telephone_operator.n.01'),telephone_operator.n.01,b
1375,1375,Synset('abstainer.n.02'),abstainer.n.02,b
1402,1402,Synset('aquarius.n.01'),aquarius.n.01,b
1410,1410,Synset('baby_boomer.n.01'),baby_boomer.n.01,b
1414,1414,Synset('baldhead.n.01'),baldhead.n.01,b
1423,1423,Synset('black.n.05'),black.n.05,b
1427,1427,Synset('bodybuilder.n.01'),bodybuilder.n.01,b
1436,1436,Synset('captor.n.01'),captor.n.01,b
1443,1443,Synset('charmer.n.02'),charmer.n.02,b
1468,1468,Synset('dancer.n.02'),dancer.n.02,b
1472,1472,Synset('debtor.n.01'),debtor.n.01,b
1479,1479,Synset('disentangler.n.01'),disentangler.n.01,b
1486,1486,Synset('dribbler.n.02'),dribbler.n.02,b
1490,1490,Synset('effecter.n.01'),effecter.n.01,b
1502,1502,Synset('extrovert.n.01'),extrovert.n.01,b
1547,1547,Synset('jew.n.01'),jew.n.01,b
1562,1562,Synset('left-hander.n.02'),left-hander.n.02,b
1585,1585,Synset('mestizo.n.01'),mestizo.n.01,b
1587,1587,Synset('miracle_man.n.01'),miracle_man.n.01,b
1595,1595,Synset('mutilator.n.01'),mutilator.n.01,b
1608,1608,Synset('nonperson.n.01'),nonperson.n.01,b
1625,1625,Synset('pardoner.n.01'),pardoner.n.01,b
1626,1626,Synset('partner.n.03'),partner.n.03,b
1659,1659,Synset('reliever.n.02'),reliever.n.02,b
1662,1662,Synset('rescuer.n.02'),rescuer.n.02,b
1678,1678,Synset('seeder.n.01'),seeder.n.01,b
1692,1692,Synset('slav.n.01'),slav.n.01,b
1702,1702,Synset('sniffler.n.01'),sniffler.n.01,b
1738,1738,Synset('toucher.n.01'),toucher.n.01,b
1740,1740,Synset('transsexual.n.02'),transsexual.n.02,b
1741,1741,Synset('transvestite.n.01'),transvestite.n.01,b
1775,1775,Synset('juggernaut.n.01'),juggernaut.n.01,b
1776,1776,Synset('moloch.n.01'),moloch.n.01,b
1777,1777,Synset('spirit.n.01'),spirit.n.01,b
1781,1781,Synset('ash.n.01'),ash.n.01,b
1784,1784,Synset('greaves.n.01'),greaves.n.01,b
1785,1785,Synset('alluvial_sediment.n.01'),alluvial_sediment.n.01,b
1786,1786,Synset('dregs.n.01'),dregs.n.01,b
1788,1788,Synset('lees.n.01'),lees.n.01,b
1792,1792,Synset('dry_ice.n.01'),dry_ice.n.01,b
1794,1794,Synset('glass.n.01'),glass.n.01,b
1800,1800,Synset('atom.n.01'),atom.n.01,b
1817,1817,Synset('antigen.n.01'),antigen.n.01,b
1830,1830,Synset('inoculant.n.01'),inoculant.n.01,b
1845,1845,Synset('coal.n.01'),coal.n.01,b
1846,1846,Synset('peat.n.01'),peat.n.01,b
1847,1847,Synset('amulet.n.01'),amulet.n.01,b
1850,1850,Synset('collectible.n.01'),collectible.n.01,b
1851,1851,Synset('collector's_item.n.01'),collectors_item.n.01,b
1852,1852,Synset('scum.n.02'),scum.n.02,b
1853,1853,Synset('slick.n.03'),slick.n.03,b
1855,1855,Synset('iceberg.n.01'),iceberg.n.01,b
1857,1857,Synset('beach.n.01'),beach.n.01,b
1858,1858,Synset('cave.n.01'),cave.n.01,b
1860,1860,Synset('delta.n.01'),delta.n.01,b
1861,1861,Synset('diapir.n.01'),diapir.n.01,b
1863,1863,Synset('foreshore.n.01'),foreshore.n.01,b
1866,1866,Synset('massif.n.01'),massif.n.01,b
1876,1876,Synset('shore.n.01'),shore.n.01,b
1879,1879,Synset('talus.n.01'),talus.n.01,b
1881,1881,Synset('volcanic_crater.n.01'),volcanic_crater.n.01,b
1887,1887,Synset('neve.n.01'),neve.n.01,b
1889,1889,Synset('shelf_ice.n.01'),shelf_ice.n.01,b
1891,1891,Synset('party_favor.n.01'),party_favor.n.01,b
1895,1895,Synset('cultivated_land.n.01'),cultivated_land.n.01,b
1896,1896,Synset('overburden.n.01'),overburden.n.01,b
1901,1901,Synset('turf.n.01'),turf.n.01,b
1902,1902,Synset('wetland.n.01'),wetland.n.01,b
1905,1905,Synset('cape.n.01'),cape.n.01,b
1910,1910,Synset('island.n.01'),island.n.01,b
1911,1911,Synset('isthmus.n.01'),isthmus.n.01,b
1913,1913,Synset('mainland.n.01'),mainland.n.01,b
1916,1916,Synset('peninsula.n.01'),peninsula.n.01,b
1918,1918,Synset('slash.n.02'),slash.n.02,b
1922,1922,Synset('earth.n.04'),earth.n.04,b
1923,1923,Synset('east.n.05'),east.n.05,b
1926,1926,Synset('jungle.n.01'),jungle.n.01,b
1928,1928,Synset('north.n.04'),north.n.04,b
1929,1929,Synset('northeast.n.04'),northeast.n.04,b
1930,1930,Synset('northwest.n.04'),northwest.n.04,b
1931,1931,Synset('pass.n.04'),pass.n.04,b
1935,1935,Synset('seat.n.06'),seat.n.06,b
1938,1938,Synset('south.n.04'),south.n.04,b
1939,1939,Synset('southeast.n.04'),southeast.n.04,b
1940,1940,Synset('southwest.n.04'),southwest.n.04,b
1943,1943,Synset('west.n.08'),west.n.08,b
1948,1948,Synset('bulb.n.03'),bulb.n.03,b
1949,1949,Synset('butt.n.09'),butt.n.09,b
1952,1952,Synset('foible.n.02'),foible.n.02,b
1953,1953,Synset('fore_edge.n.01'),fore_edge.n.01,b
1954,1954,Synset('forte.n.03'),forte.n.03,b
1957,1957,Synset('hub.n.01'),hub.n.01,b
1958,1958,Synset('jetsam.n.01'),jetsam.n.01,b
1959,1959,Synset('limb.n.04'),limb.n.04,b
1961,1961,Synset('peen.n.01'),peen.n.01,b
1965,1965,Synset('section.n.04'),section.n.04,b
1966,1966,Synset('shank.n.06'),shank.n.06,b
1975,1975,Synset('fossil.n.02'),fossil.n.02,b
1976,1976,Synset('blade.n.03'),blade.n.03,b
1979,1979,Synset('plumber's_snake.n.01'),plumbers_snake.n.01,b
1981,1981,Synset('doodad.n.01'),doodad.n.01,b
1982,1982,Synset('etcetera.n.01'),etcetera.n.01,b
1984,1984,Synset('bagatelle.n.02'),bagatelle.n.02,b
1989,1989,Synset('webbing.n.01'),webbing.n.01,b
1991,1991,Synset('assembly.n.05'),assembly.n.05,b
1993,1993,Synset('item.n.03'),item.n.03,b
2001,2001,Synset('slippage.n.01'),slippage.n.01,b
2003,2003,Synset('attack.n.08'),attack.n.08,b
2010,2010,Synset('deflation.n.02'),deflation.n.02,b
2011,2011,Synset('demand.n.02'),demand.n.02,b
2017,2017,Synset('spiral.n.03'),spiral.n.03,b
2026,2026,Synset('accession.n.01'),accession.n.01,b
2028,2028,Synset('accretion.n.03'),accretion.n.03,b
2029,2029,Synset('accretion.n.04'),accretion.n.04,b
2030,2030,Synset('accretion.n.05'),accretion.n.05,b
2044,2044,Synset('absorption.n.02'),absorption.n.02,b
2066,2066,Synset('electrophoresis.n.01'),electrophoresis.n.01,b
2077,2077,Synset('hardening.n.02'),hardening.n.02,b
2088,2088,Synset('pair_production.n.01'),pair_production.n.01,b
2105,2105,Synset('synergy.n.01'),synergy.n.01,b
2121,2121,Synset('catabolism.n.01'),catabolism.n.01,b
2130,2130,Synset('effacement.n.01'),effacement.n.01,b
2139,2139,Synset('hematopoiesis.n.01'),hematopoiesis.n.01,b
2143,2143,Synset('implantation.n.01'),implantation.n.01,b
2149,2149,Synset('krebs_cycle.n.01'),krebs_cycle.n.01,b
2168,2168,Synset('quellung.n.01'),quellung.n.01,b
2174,2174,Synset('resorption.n.01'),resorption.n.01,b
2182,2182,Synset('synizesis.n.01'),synizesis.n.01,b
2206,2206,Synset('radiography.n.01'),radiography.n.01,b
2207,2207,Synset('scanning.n.01'),scanning.n.01,b
2213,2213,Synset('vulcanization.n.01'),vulcanization.n.01,b
2216,2216,Synset('bay.n.01'),bay.n.01,b
2219,2219,Synset('estuary.n.01'),estuary.n.01,b
2221,2221,Synset('ford.n.07'),ford.n.07,b
2222,2222,Synset('gulf.n.01'),gulf.n.01,b
2223,2223,Synset('high_sea.n.01'),high_sea.n.01,b
2224,2224,Synset('inlet.n.01'),inlet.n.01,b
2225,2225,Synset('lake.n.01'),lake.n.01,b
2228,2228,Synset('ocean.n.01'),ocean.n.01,b
2229,2229,Synset('offing.n.02'),offing.n.02,b
2232,2232,Synset('sea.n.01'),sea.n.01,b
2236,2236,Synset('stream.n.01'),stream.n.01,b
2238,2238,Synset('waterfall.n.01'),waterfall.n.01,b
2248,2248,Synset('corpus.n.03'),corpus.n.03,b
2249,2249,Synset('craton.n.01'),craton.n.01,b
2259,2259,Synset('couple.n.05'),couple.n.05,b
2268,2268,Synset('bone_age.n.01'),bone_age.n.01,b
2270,2270,Synset('developmental_age.n.01'),developmental_age.n.01,b
2271,2271,Synset('fetal_age.n.01'),fetal_age.n.01,b
2272,2272,Synset('mental_age.n.01'),mental_age.n.01,b
2273,2273,Synset('newness.n.01'),newness.n.01,b
2275,2275,Synset('oldness.n.02'),oldness.n.02,b
2287,2287,Synset('volatility.n.01'),volatility.n.01,b
2289,2289,Synset('molality.n.01'),molality.n.01,b
2290,2290,Synset('molarity.n.01'),molarity.n.01,b
2291,2291,Synset('titer.n.01'),titer.n.01,b
2294,2294,Synset('hardness.n.01'),hardness.n.01,b
2295,2295,Synset('porosity.n.01'),porosity.n.01,b
2296,2296,Synset('softness.n.01'),softness.n.01,b
2301,2301,Synset('viscosity.n.01'),viscosity.n.01,b
2302,2302,Synset('genotype.n.02'),genotype.n.02,b
2303,2303,Synset('karyotype.n.01'),karyotype.n.01,b
2304,2304,Synset('phenotype.n.01'),phenotype.n.01,b
2305,2305,Synset('structure.n.02'),structure.n.02,b
2306,2306,Synset('texture.n.05'),texture.n.05,b
2308,2308,Synset('depth.n.02'),depth.n.02,b
2310,2310,Synset('grind.n.02'),grind.n.02,b
2314,2314,Synset('intensity.n.02'),intensity.n.02,b
2316,2316,Synset('lowness.n.04'),lowness.n.04,b
2317,2317,Synset('moderation.n.01'),moderation.n.01,b
2319,2319,Synset('sun_protection_factor.n.01'),sun_protection_factor.n.01,b
2324,2324,Synset('separatism.n.02'),separatism.n.02,b
2325,2325,Synset('tendency.n.03'),tendency.n.03,b
2328,2328,Synset('inheritance.n.03'),inheritance.n.03,b
2344,2344,Synset('artistic_style.n.01'),artistic_style.n.01,b
2348,2348,Synset('life_style.n.01'),life_style.n.01,b
2349,2349,Synset('response.n.07'),response.n.07,b
2354,2354,Synset('malodorousness.n.01'),malodorousness.n.01,b
2357,2357,Synset('absorptivity.n.01'),absorptivity.n.01,b
2361,2361,Synset('elasticity.n.01'),elasticity.n.01,b
2368,2368,Synset('luminosity.n.01'),luminosity.n.01,b
2373,2373,Synset('randomness.n.01'),randomness.n.01,b
2380,2380,Synset('brininess.n.01'),brininess.n.01,b
2384,2384,Synset('octavo.n.01'),octavo.n.01,b
2385,2385,Synset('outsize.n.01'),outsize.n.01,b
2387,2387,Synset('quarto.n.01'),quarto.n.01,b
2388,2388,Synset('regular.n.04'),regular.n.04,b
2395,2395,Synset('pitch.n.01'),pitch.n.01,b
2397,2397,Synset('rhythmicity.n.01'),rhythmicity.n.01,b
2401,2401,Synset('timbre.n.01'),timbre.n.01,b
2402,2402,Synset('volume.n.06'),volume.n.06,b
2410,2410,Synset('endurance.n.01'),endurance.n.01,b
2413,2413,Synset('huskiness.n.01'),huskiness.n.01,b
2414,2414,Synset('indomitability.n.01'),indomitability.n.01,b
2415,2415,Synset('invulnerability.n.02'),invulnerability.n.02,b
2417,2417,Synset('robustness.n.01'),robustness.n.01,b
2418,2418,Synset('stoutness.n.01'),stoutness.n.01,b
2419,2419,Synset('sturdiness.n.02'),sturdiness.n.02,b
2423,2423,Synset('bitterness.n.04'),bitterness.n.04,b
2426,2426,Synset('spiciness.n.01'),spiciness.n.01,b
2427,2427,Synset('sweetness.n.02'),sweetness.n.02,b
2434,2434,Synset('colorlessness.n.01'),colorlessness.n.01,b
2436,2436,Synset('light.n.07'),light.n.07,b
2439,2439,Synset('adynamia.n.01'),adynamia.n.01,b
2440,2440,Synset('attenuation.n.02'),attenuation.n.02,b
2443,2443,Synset('fatigability.n.01'),fatigability.n.01,b
2444,2444,Synset('feebleness.n.02'),feebleness.n.02,b
2445,2445,Synset('flimsiness.n.01'),flimsiness.n.01,b
2447,2447,Synset('inanition.n.01'),inanition.n.01,b
2449,2449,Synset('smallness.n.03'),smallness.n.03,b
2451,2451,Synset('weak_part.n.01'),weak_part.n.01,b
2452,2452,Synset('adaptability.n.01'),adaptability.n.01,b
2453,2453,Synset('capability.n.01'),capability.n.01,b
2454,2454,Synset('competence.n.01'),competence.n.01,b
2455,2455,Synset('contractility.n.01'),contractility.n.01,b
2457,2457,Synset('immunocompetence.n.01'),immunocompetence.n.01,b
2458,2458,Synset('interoperability.n.01'),interoperability.n.01,b
2460,2460,Synset('midas_touch.n.01'),midas_touch.n.01,b
2461,2461,Synset('penetration.n.04'),penetration.n.04,b
2462,2462,Synset('physical_ability.n.01'),physical_ability.n.01,b
2463,2463,Synset('sensitivity.n.05'),sensitivity.n.05,b
2464,2464,Synset('totipotency.n.01'),totipotency.n.01,b
2466,2466,Synset('fidelity.n.01'),fidelity.n.01,b
2467,2467,Synset('mystique.n.01'),mystique.n.01,b
2469,2469,Synset('vibration.n.04'),vibration.n.04,b
2472,2472,Synset('blemish.n.01'),blemish.n.01,b
2473,2473,Synset('color.n.08'),color.n.08,b
2475,2475,Synset('countenance.n.01'),countenance.n.01,b
2477,2477,Synset('disfigurement.n.01'),disfigurement.n.01,b
2481,2481,Synset('format.n.02'),format.n.02,b
2484,2484,Synset('homeliness.n.02'),homeliness.n.02,b
2487,2487,Synset('ornateness.n.02'),ornateness.n.02,b
2489,2489,Synset('perspective.n.02'),perspective.n.02,b
2490,2490,Synset('phase.n.04'),phase.n.04,b
2492,2492,Synset('semblance.n.01'),semblance.n.01,b
2495,2495,Synset('superficies.n.01'),superficies.n.01,b
2496,2496,Synset('ugliness.n.01'),ugliness.n.01,b
2497,2497,Synset('vanishing_point.n.02'),vanishing_point.n.02,b
2499,2499,Synset('advantage.n.01'),advantage.n.01,b
2500,2500,Synset('forte.n.01'),forte.n.01,b
2501,2501,Synset('resource.n.02'),resource.n.02,b
2503,2503,Synset('allure.n.01'),allure.n.01,b
2505,2505,Synset('drawing_power.n.01'),drawing_power.n.01,b
2507,2507,Synset('lure.n.01'),lure.n.01,b
2509,2509,Synset('show-stopper.n.02'),show-stopper.n.02,b
2510,2510,Synset('evil.n.02'),evil.n.02,b
2512,2512,Synset('liability.n.03'),liability.n.03,b
2513,2513,Synset('undesirability.n.01'),undesirability.n.01,b
2515,2515,Synset('unworthiness.n.01'),unworthiness.n.01,b
